,tweet,username,lang
0,2 days break orona,maroungh1,en
1, dont think its a corona matter,karampeter,en
2,"o the minister of health went on to brag about how many tests we are performing daily only to find out a day later that many hospitals and labs are out of pcr kits
f numbers are low these couple of days please proceed with celebrating that ma fi corona and     httpstwittercomkboudarghamstatus25733773",assafnicole,en
3,hamdela kelshi tamem corona w kaza  i will come for final or semi nshallah,nabillllllll75,en
4,"ywaa a7la chi
a3d l corona khalas fi nazle khsuse w mnemra2 3a gebran ",perejad,ar
5,asks make us slaves thousands march in erlin antilockdown protest video corona lockdown httpswwwtheguardiancomworldvideo22augmasksmakeusslavesthousandsmarchinberlinantilockdownprotestvideosharebtntw,donitsaa,en
6,"3a ases mafi weddings
orona doesnt target the beauty pageants
askhara  httpstwittercomdeelafficialstatus285835772",hmajuscule,en
7,his was supposed to be us this year but corona had other plans for us   httpstwittercomhanabaraketstatus288325,fatimaiss2,en
8,his is very important corona is not a flu spread the word please  httpstwittercomrobertosstatus28277528,ayashfar,en
9,haye kif yaane 22 corona case wl ness menteke bi byouta,karampeter,ar
10,ai limpression quil y beaucoup de dscolaris qui prfre tweeter de la merde que de faire des recherches franchement hte que le corona finisse parce quil y a beaucoup de cas dsesprs aujourdhui  httpstwittercomaaronn3status285287383,semsomhlk,fr
11,eve heard it weve said it we should look into it hat coronathis year has made of me we all broke down and still are on many levels at the same time ust be kind with everyone dont add a layer of bruises to each other,rwdhbib,en
12,the orona test is horrible,syrnassadist,en
13,"ala mnih shawwabit l dene 
ek hek alulna eno l corona bet mout bel shob ",gfarahh,ar
14,slan aslan l corona kezbe,joehosrii,tr
15,nd thats how it starts hat we have been warning about since arch ut hey whatever ma fi corona w kelna mna3rif ba3ed w bade 3ish de2 khel2e  httpstwittercomebanon2status2882837282,assafnicole,en
16, short story  fi shab ma3i bl she8l eja yetlob mn l executive chef day off nhar el a7ad la2an 3eres ekhto fa l french chef sa2alo eno is it legal to do wedding now  no corona w hek fa shu bijewbo el shab p  ne7na shi3a huzb allah w hek fa kelo legal elna  ,azzamdarwich,ar
17,"tay home

tayome tayafe coronavirus orona 
carolesamaha  pictwittercom5zsh7",zakawi_aziz,en
18,efore orona  hen was the last time we saw our city festive and colorful beirut lebanon city pictwittercomt3gotjy,ladyinbeirut,en
19,uiii orona needs a break ya ee,claraelkouba,en
20,challa bet moute b corona ya khansire,georges02561150,ny
21,h le  et 5 aout mafi corona,sandrahana0,fr
22,22 new corona cases in ebanon,nisrinehatoum,en
23,only in ebanon bt ruh btaamul fahss corona awal nhar bytlaa pos tene nhar bytlaa neg,cutestssnake,gu
24,orona needs a vacation too you know ebanese logic  httpstwittercomardestatus28772752523,madamemyao,en
25,        anticorona,rawansam5,ar
26, took the test at  two weeks ago t was the same uper crowded and most of them had been in contact with corona patients f you dont have it there is a big possibility youll get the virus there,anna_ohan,en
27,e suis tjrs en vie jai pas le corona alhamdulilah  httpstwittercomnterflorastatus2852588,semsomhlk,fr
28,"       orona  
           ",maroungh1,ar
29,ow many orona cases for today,nsoulifmn,en
30,8 new corona cases in ebanon and  deaths,nisrinehatoum,en
31," corona virus
   
 fight corona
be careful from corona
       ",christellenhage,ar
32,jiboule he li al eno bas tsayef corona bimut 3al 7arara el 3alye,joetghantous,ar
33,       corona          ,samerbenny1,ar
34,he amount of lame corona jokes is appalling     coronavirus ,rudyhach,ar
