2a3d/2a3di	is sitting/doing
2aasi/2aasyi	firm
2aasi/2aasyi	tough
2ahoui	coffee
2amar 	moon
2anoun	law
2araaiib	family
2araaiib	relitives
2ariib/2ariibi	close
2ariiban	shortly (time)
2ariiban	soon/close
2asiir/2asiiri	short
2awi	strong
2e3ed/2e3edi 3am	is doing
2e5baar	news
2edaem	in front (of)
2edaiish esae3a?	what time is it?
2ejer	leg
2er8iif	loaf
2ezaez	glass
2iid	arm
2iid	hand
2iid elyamiin	right hand
2iid eshmael	left hand
2o5t	sister
2oui	power
2ourb	close(ness)
2u3a	Don't you ever../Watch out (for)
3a	on/at  (but can have many other meanings)
3adad	amount
3adad kbiir	big amount
3adad sa8iir	small amount
3adi	Its ok/not bad/normal
3adi	ordinary
3aetnain	at 2
3aiin	eye
3al2a2el	at least
3al2aliili	at least
3alae2a	relationship
3alwe7di	at 1
3am mout men el/e..	I'm dying from the..
3am(dad's side)/5aal(mom's side)	uncle
3an	about
3an2ased	on purpose
3ared	(an) offer
3asawa	straight
3asha	dinner
3ashmaelak/3ashmaelik	on your left
3asobo7	in the morning
3atel/3ateli	out of order
3atem	dark (light wise)
3atemaeni	at 8
3atoul	always
3awainaet	glasses
3ayamiinak/3ayamiinik	on your right
3aziaara	on a visit
3elbi	box
3elbi	package
3endak/3endik?	You have?
3enwaen	address
3enwaen	title
3ers	wedding
3omar	life(time)
5ai	brother
5alas	enough
5alas	that’s it/that’s enough/stop!
5aliik/5aliilki	stay
5allina nelta2a..	lets meet..
5arta	map
5as	lettuce
5ashab	wood
5atiir	dangerous
5awaeja/monsieur (french)	mr.-mister
5ebaez	baker
5ebez	bread
5edmi	service
5etiaar/5etiaara	old man/woman
5ewet/5ewtet fiiyi	amazed at me ((he/she) was)
5odra	vegetables
7a2ii2i	real
7a2ii2atan	really/truthfully
7aait	wall
7abbi	pill
7abiibi/7abiibiti	my darling
7ad	beside
7ader/7adera	ready
7adi	someone
7adi baddu…?	does someone want…?
7afli	concert/party
7afli	party
7aiaet	life
7aiwaen/7aiiwaeni	animal
7aliian…	right now…
7aliib	milk
7amaes	energy/excitement
7araam	forbiden
7araam	how forbiden (he/she/they) is/are
7araam	how sad!
7araam 3alaik/3alaiki!	you are mean!
7araara	fever
7araara	temperature
7ebli	pregnant
7elou/7eloui	lovely
7elou/7eloui	sweet/beautiful
7odud	border
7orr/7orra	free
8aali/8aalyi	costly
8ada	lunch
8aeme2	dark (color wise)
8aiir	another
8aiir	other (than)
8alat!	wrong!
8alta	mistake
8alta menak/menik	mistake (from you)
8alta menni	mistake (from me)
8ani/8aniiyi	rich
8areb	west
8ariib	foreign
8ariib	strange
8ariib	strange
8ariib	strange/how strange?
8eniiyi	song
8erfet 2a3oud	living room
8erfi	room
8erfet 2e3oud	living room
8erfet nowm	bedroom
a3ma/3amia	blind
a3ti	give
a5adar/5adra	green
a7mar	red
a7saes	feeling
a7san	better
abel	before
abiiad/baiida	white
adiim	old
ae5er	last
ae5er shi	last thing/one
ahbal/habla	stupid
ai akiid	yes indeed
ai meta?	when?/what time?
ai shou lakaen!	No doubt,Sure thing!
akel	food
akiid	certain
akiid	definitely
akiid	sure!
akiid	sure??
almaani/almaaniiyi	German man/woman
amercaeni/amercaeniiyi	American man/woman
amiir	prince
an7as…shi	(the) worst..thing
Ana 7orr/7orra!	I am free to do as I wish!
Ana baddi pliiz	I want please..
anglais(french)	english
annini	bottle
anninit maai	bottle of water
aou	or
asad	lion
asfar/safra	yellow
aswad/sawda	black
autostrade (italian)	moterway/highway
awalak/awalik	You say so?
azra2/zar2a	blue
azra2/zar2a	blue
b/bi/bel/3a/3al	at
ba2ara	cow
ba3d	after
ba3d bakiir!	Its Early! (sarcasm when someone is late)
ba3d elaw2aet	sometimes
ba3daiin	afterwards/later
ba5iil/ba5iili	cheap (person)
ba7r	beach
ba7r	sea
baba	dad
baba	father
badli	suit
baeb	door
baida	egg
baiit	house
bakiir	early
barra	out
bas	just/enough
bas	only
bas lel-asaf	unfortunately
baset	fun
bataata	potatos
batii2/batii2a	slow
be3iid	away
be3iid	far
bebai	baby
bedae5el	inside (as in domestic)
beddu yekoun	it must be!
bedoun	without
bel2a5as	in particular
bel5aerej	outside (as in abroad)
bela5as	especially
belaed	country
belbaiit	at home
belfe3l	indeed
bellail	(at) night
belmediini	in the city
belteslii7	undergoing repair
benaiiyi	building
benni	brown
bent	daughter/girl
benziin (dutch)	gasoline/petrol
beraad	fridge
berdaiyi	curtain
bernaemj	program
bernaita	hat
bezabet	precisely
bi/b	in
bi2orb	near
bi5esous	concerning
bicyclette(french)	bicycle
biira	beer
biitaa2a	card
belmasa	in the evening
bent	girl
bisi/bessi	cat
bizabet	exactly
boia	paint
Bonjour(french)	Good day
bot	shoe
botaat	shoes
boukra	tomorrow
bravo 3aliik/3aliiki	excellent for you
bravo(english)	excellent
briitaani/briitaaniiyi	British man/woman
bus/autobus (french)	bus
cadeau (french)	gift
cadeau (french)	present
canadiaeni/canadiaeniiyi	Canadaian  man/woman
chapeau (french)	hat
chemise (french)	shirt
chocolat	chocolate
cinema(english)	cinema
computer(english)	computer
cravate (french)	tie
da2…	called (as in...so and so called)
da2ait la…	called (I called)
da3iif/da3iifi	week (power)
dahab	gold (material)
dahabi/dahabiiyi	gold (color)
daher	back
dahra	outing
daiiman	always
darrouri/darrouriiyi	necessary
daw	light
daw	light (brightness)
dawwer/dawwri	switch on
de5aen	smoke (particles)
dekaen	(a)shop
dekaen	supermarket
derous	studies
dii3aiyaat	commercials
dii3aiyi	commercial
diin	religion
doctoor	doctor
dod	against
douche(french)	shower
e7timael	a possiblity
ebin	son
écharpe (french)	scarf
ektiiraa7	proposal
el or e (depending on letter that follows)	the
el3aalam	(the) people
el3aalm	the world/the people
el3aili	(the) family
el3aili	the family
el5ariif	autumn
elaa5ariin	the others
elawal	first
elawal	the first
elensaen	(the) human being
elhaii2a	it seems to be!
elkel	everyone
ella	except/minus
ella	minus
el-mustahlek	consumer (the consumer)
elwaa7ad	people..typically (to teach a lesson)
elyoum	today
embare7	yesterday
embiid	wine
enaes	(the) people
enak/enik	you are
ennu	that
eraadio	(the) radio
eraadio	the radio
erabii3	spring
esae3a	(the) time
esaiif	summer
esbou3	week (calender)
eshams	the sun
esheti	winter
esm	name
esobo7	the morning
espaani/espaaniiyi	Spanish man/woman
estaez/estaezi	teacher
estishfa	healing/medical aid
eta2es	(the)weather
etaelyi	the following
etala3/etala3i	look!
etii7aen	exam
eza 8aiir zaelk	if otherwise/if not
ezaaher	it appears to be!
fa2iir/fa2iira	poor
faadi/faadiiyi	empty
faadi/faadiiyi	not busy/empty
faete7	light (color)
faj2a	suddenly
faraashi	moth
fedda	silver (material)
feddi/feddiiyi	silver (color)
fehemt/fehemti kiif?	understand?
fersa	chance
fersa	holiday
fewaeki	fruit
fi	there is (available)
fi	there is…
fi 5edmt	service (at the service..Of)
fi e7timael	its possible
fi/bi or f/b (depending on letter that follows)	in
fi7aal	in case
fikol 7aal	anyway/anyhow
fikra	idea
fistaan	dress
fo2	above
fo2	up/ up stairs/ above
fourran (pronounced, faw-run)	immediately
frata	change (pocket change..coins)
frensaewi/frensaewiiyi	French man/woman
garçon (french)	waiter
gâteau	cake
gâteau 3achocolat (french)	chocolate cake
gateau 3ajazar	carrort cake
gateau 3atefae7	apple cake
ha7tal...	until…
habibi/habibti	darling
hadaf	goal
haiin	easy
hal2	now
7o2ou2	rights
hon	here
hounik	there (over there)
jaar/jaara	nieghbor
jamae3a	group
jamhour	audience
jamiil/jamiili	beautiful
janaini	garden
jaquette (french)	jacket
jariidi	newspaper
jawaeb	an answer
jazara	carrot
jebael	mountains
jebni	cheese
jeddu	grandpa
jediid/jediidi	new
jedou	jedou
jeld	leather
jemli	sentence
jenoub	south
jeser	bridge
jeze2	part
jiib/jiibi	get
tanoura/jupe (french)	skirt
kabout	coat/condom
kaemel/kaemeli	complete
kaetb/kaetbi	writer
kaeteb	author
kalb	dog
kam?/2edaiish?	how many?/how much?
kamaen	also
kamaen	as well
kamaen	too/also
kamaena..	furthermore..
kariim/kariimi	kind/generous
kazdoura	cruise
kbiir	big
kbiir	large
kel marra	everytime
kel shi	everything
kel/elkel (depending on context)	all/everybody
kelmi	word
kelna sawa!	all of us together!
kersi	chair
kezbi	lie
kezbi baiida	lie (white)
kezbi sawda	lie (black)
kibaiiyi	cup
kiif?	how/how come?
kiif?	how?
kil maeshi wo etaeni	every now and then
ktaeb	book
ktiir	many/a lot
ktiir	much
ktiir	often
ktiir	very
l/la/le	for
la shou?	why?/for what?
la/l (depending on following letter)	to/for
La2	No!
la2iim/la2iimi	mean person
la2iini 3al..	meet me at the..
la7aalu/la7aala	by him/her self
la7aem	butcher
la7em	meat
la7za	moment
la7za!	moment (one)
laezem	should/what should be
laiish?	why?
laik/laiki	look(here)/listen up!
lail	night
laili	(a) night
lamma	once/whenever
lawa7du/lawa7da	alone
lawn	color
lebelaed	The Country (Lebanon)
lebnaeni/lebnaeniiyi	Lebanese  man/woman
lelasaf	sadly
letnaen	Both/the two
lizaelk	so/that’s why
ma 7adi	no one
Ma bi 2oulu	They do not say…(It's wrong to say)
ma fi…	there is no…
ma momken!	no way!
ma shi	nothing
ma3/ma3a	with
ma3na	meaning
ma5raj	exit
ma7ata	station/chanel
maai	water
mad3ouk/mad3ouki	worn out
mad5al	entrance
maftou7/maftou7a	opened
maiiyiet/maiiyieti	dead
mail	side
majalli	magazine
majhour/majhoura	famous
maktab	office
maktabi	library
maktoub	letter
mala2a	spoon
mama	mom
mama	mother
man5our	nose
manta2a	area
manta2a	region
manzar	view/sight
manzar 7elou	nice sight
mar7aba	hello
mar7ali	period/interval
mariid/mariida	ill
marra	woman
masa	evening
masaari	money
mash8oul	busy
manshafi	towel
mat3am	restaurant
mat3am	restaurant
mat7af	museum
mataar	airport
matal	example
matal	role model
matalan	for example
matba5	kitchen
maw3ad	appointment
me7ata	TV/(petrol) station
mediini	city
meftae7	key
mehazab/mehazabi	polite
meliaen/meliaeni	full/full of
men	from
men	since
men 5iilael	through/via
men elwaad7	clear (its clear)
men meddi	from a while
men zamaen	from a while
menarfez/menarfezi	angry
menarfez/menarfezi meni	angry from me
menii7/menii7a	good
menii7/menii7a	nice/good
menii7/menii7a	well
meraiiyi	mirror
merci (french)	thank you
merci ktiir	thank you very much
mesakar/mesakara	closed
mesh	not
Mesh 2asdi haik	I don't mean that
mesh 8ariib	familiar
mesh she8elak/she8elik	not your business
meshkel/meshkeli	problem
mesiibi	crisis/problem
meta	when
met2a5r/met2a5ra	late
meddi	a while/era
miin ma..	whoever..
miin?	who?
mistashfa	hospital
mitli mitlak/mitlik	just like you (in this)
mo5adaraat	drugs
mo8la2	shut
modares/moddaresi	teacher
moquette(french)	carpet
motaer	engine
mou5atat	(a)plan
moudiir/moudiira	boss/director/manager
moudiir/moudiira	manager
mowaten/mowateni	citizen
munaesebi	occasion
musii2a	music
na3am (formal) /ai	yes/ya
na7es	evil
naase7/naase7a	fat man/women
nae3m/nae3mi	soft
naeshef/naeshefi	dry
natra	(a) wait
ne2en 	because
nii2aesh	argument
niihaiiyi	end
niizaam	order (law)
nos	half
oronj	orange
pantalon (french/italian)	pants
pantalon (french/italian)	trousers
pardon (french)	excuse me
perruque(french)	wig
piscine (french)	pool
pliiz (englsih)	please
ra2em	number
ra5iis	cheap (product)
ra7a	pleasure
raas	head
raas bataata	potato
rasmi	drawing
re2ii2/re2ii2i	thin
re5iis/re5iisa	cheap price
re7li	journey
reb3 sae3a	quarter of an hour
redet fe3l	reaction
ref2a	friends
refii2/refii2a	friend
rejael	man
rifa2	friends
riisaeli	message
riisaeli	note
riiyaada	sport
riiyaadi	sporty
rou7/rou7i	go
rusi/rusiiyi	Russian man/woman
sa2al/sa2alt	ask (he/she)
sa2ef	ceiling
sa2ef	roof
sha2fi 	piece
sa7	correct
sa7	right (that's)
sa7	true/correct
sa7en	plate
sa8iir/sa8iiri	small
saba7 el5aiir	Good morning
sabi	boy
sae3a	clock
sae3a	clock/watch
sae3a	hour
sae3a	watch
saf	classroom
saf	queue
saf	school class/queue
safar	travel/a trip
sahar	staying up late
sahel	flat land
sahra	late night party/outing
saii2	bad
saiir	traffic
sajara	tree
salata	salad
samak	fish
sarii3/sarii3a	fast
sarii3/sarii3a	quick
sarii3an	quickly
sawa	together
sekar	suger
sekiin	knife
semiik/semiiki	thick
shmmael 	north
seni	year
serae2/serae2i	thief
sha3r	hair
sha5es	person
sha5tuura	boat
sha5tuura	ship
shaai	tea
shaai	tea
shab/sabiiyi	teen
shab/sabiiyi	teen
shabaeb/sabaaia	teens
shaer3	street
shaher	month
shakwa	complaint
shamsiiyi	umbrella
shanta	back pack
shanta	suitcase
share2	east
shariki	company
shawki	fork
she8el	business
she8el	job
she8el	work
shebaek	window
sheliimoni	straw
sheti	rain
shi	something
shibaek	window
shifet kiif?/shifeti kiif?	you see, how it is?
shmael	left
shouai	a bit
shou 3arafak?/shou 3arafik?	how do you know?
shou 3arafni?	how do I know?
shou fi?	what is there?/Whats up?
shou lakaen!	of course
shou mehazab/mehazabi	how polite…
Shou naase7/naase7a!!	How fat he/she is!!
shou ya3ni?	What does..mean?
shou?/ai?/kiif? (Yes, how can used with right tone!)	what?
shouai	a bit/just a little
shouai	bit (a bit)
shouai	(a) little
sibaat	shoe
siiara/makana	car
siigaara	cigarette
sit or madame (french)	miss
sho2af 	pieces
so3b/so3bi	difficult
so7i	healthy
sorry! (english)	sorry!
sou2	market
sou2	store
sou2 el5edra	vegie market
souaat	sounds
souaat welaed	sounds of kids
soura	photo
soura 3an…	photo of…
sout	sound
special (french)	special
ta2iil/ta2iili	heavy
ta2iil/ta2iili	luxurious
ta2riiban	almost
ta2riiban	approximatly
ta3baen/ta3baeni	tired
ta3m	taste
ta3mi	taste
ta5et	bed
ta7et	below
ta7et	down/ down stairs/ below
tabii3i/tabii3iiyi	natural/normal
tabii3i/tabii3iiyi	normal
tabii3i/tabii3iiyi	usual
taeta	grandma
taeza	fresh
tafadal/tafadali	take
taiieb ok!	Fine!
taiieb/taiiebi	tasty
taksi	taxi
tanjara	pot
tante (french)	aunt
tarii2	road
tarii2	way
tarii2 eraj3a	way back
tarii5	history
tawiil/tawiili	long
tawli	table
te5miin	perhaps
