place,location,category
Damon prison,,prison
Prison Tsalmon,,prison
Prison Six,,prison
HaKarmel Prison,,prison
Tadmor Palmyra Prison,,prison
Lefkoşa Merkezi Ceza Evi,,prison
السجن المركزي باللاذقية البصة,,prison
يوسف حمايده ( ابو المعتصم ),,prison
בית מעצר פתח תקווה,Yehoshua Shtampfer St 53,prison
Megiddo Prison,,prison
Beirut New US Embassy Campus,,prison
مركز اصلاح وتأهيل الرميمين,Unnamed Road,prison
Bab Al Hawa Prison,,prison
The Hadarim Detention Center,,prison
Tel Aviv Detention,Derekh Ben-Zvi 82,prison
مركز اصلاح وتأهيل اربد (باب الهواء),Unnamed Road,prison
Hasharon Prison,,prison
Irbid prison,,prison
قصر العدل - Palace Of Justice,,prison
Umm Lulu Prison,,prison
Batroun Municipality,,prison
Ashmoret Penitentiary,,prison
سجن إدلب,60,prison
Perrin prison,,prison
Prison Samandağ,Samandağ,prison
مكتب شام للعقارات,As Suwayda,prison
Altınözü Ceza Evi,Altınözü,prison
Bomonti Development,Nicosia,prison
Hatay T Type Closed Prison,,prison
مركز اصلاح وتأهيل الزرقاء، سجن الهاشمية,Unnamed Road,prison
Hatay Open Prison,Antakya,prison
Prison Almcza,,prison
سجن رميمين Rmemin Prison,,prison
Jweida,Amman,prison
Al salt prison سجن السلط,,prison
Reyhanlı Kapalı Cezaevi,Reyhanlı,prison
سجن حلب المؤقت,,prison
Rakka Main Prison,,prison
Kırıkhan Ceza Evi,Kırıkhan,prison
Saharonim Prison,,prison
Karataş Kapalı Cezaevi,,prison
İskenderun M Tipi Kapalı Ve Açık Ceza İnfaz Kurumu,,prison
Erdemli K2 Tipi Kapalı Cezaevi,,prison
مركز اصلاح وتأهيل ناعور,,prison
معتقل القرية الخامسة للاجئين السوريين,Al-Azraq Camp,prison
Silifke M Type Closed Prison,Silifke,prison
İslahiye Ceza Ve Tevkif Evi,İslahiye,prison
Tarsus Prison,Tarsus,prison
انضباط الدفاع المدني,Amman,prison
Swaqa Rehabilitation Center,,prison
Kilis Ceza İnfaz Kurumları,,prison
Gaziantep Prison,,prison
Anamur T Tipi Kapalı Ceza İnfaz Kurumu,,prison
Osmaniye T Type Closed Prison,,prison
Nizip Cezaevi,,prison
Toprakkale Prison,Tüysüz/Toprakkale,prison
Akçakale Kapalı Cezaevi,,prison
Halfeti Kapalı Cezaevi,,prison
Karaman M Type Closed Prison,,prison
سجن اورفا المركزي,Şanlıurfa Merkez,prison
Gaziantep L Tipi Kapalı Ceza İnfaz Kurumu,,prison
جمعية حماية الأحداث,Hama,prison
Cezaevi,Kâhta,prison
Bakkallar- Şutim taziye evi,Haliliye,prison
Sanliurfa E Type Closed and Open Prison,Şanlıurfa Merkez,prison
Mouqar prison سجن الموقر,,prison
Siverek eski cezaevi,Siverek,prison
سجن سويريك,,prison
Car Protech,Roumieh,prison
Beyşehir A3 Tipi Ceza Evi,Beyşehir,prison
Tarsus prison campus,,prison
Asylum Service,Nicosia,prison
Hatay Çocuk ve Gençlik Kapalı Ceza İnfaz Kurumu,,prison
Central Prison,Khalaf Al Ahmar Rd,prison
Metris Prison,Esenler,prison
"Lebanese American University, Beirut Campus",Beirut,prison
Letitia Gallery,,prison
Evin Prison,Tehran,prison
Spaç Prison,,prison
Amnesty International Limited,,prison
Bahá'u'lláh's prison cell,,prison
Friedrich Naumann Foundation,,prison
Mamertine Prison,"Clivo Argentario, 1",prison
Hilton Beirut Metropolitan Palace,,prison
Ordre des Avocats de Beyrouth,,prison
يونسيف لبنان,,prison
Rajaei-Shahr Prison,Moazzen Blvd,prison
Reuters,,prison
Shata Prison,,prison
ICRC,,prison
JAC MOTORS,"Sayyad Highway, Damascus",prison
IMEI,Kozma u. 13,prison
Ghezel Hesar prison,Payam Rd,prison
Juvenile Care Center,Al Mafraq,prison
Lukiškės Prison,Lukiškių skg. 6,prison
"Prison ""La Santé""",42 Rue de la Santé,prison
Springfield,Kaslik,prison
HM Prison Wormwood Scrubs,160 Du Cane Rd,prison
HMP Belmarsh,Western Way,prison
HMP Pentonville,Caledonian Rd,prison
Landsberg Prison,Hindenburgring 12,prison
Zona,,prison
Stadelheim Prison,Stadelheimer Str. 12,prison
HMP Wandsworth,Heathfield Rd,prison
HM Prison Send,Ripley Rd,prison
Strasbourg prison,6 Rue Engelmann,prison
Nusroto Al Anashid Association,,prison
HMP The Mount,,prison
HMP Brixton,Jebb Ave,prison
HMP Manchester,1 Southall St,prison
Black Dolphin Prison,"Ulitsa Sovetskaya, 6",prison
Kilmainham Gaol,Inchicore Rd,prison
Montluc prison,4 Rue Jeanne Hachette,prison
HMP Holloway,Parkhurst Rd,prison
Midlands Prison,Dublin Rd,prison
Saharonim Prison,,prison
Lefortovskaya Tyur'ma,"Ulitsa Lefortovskiy Val, дом 5",prison
HMP/YOI Reading,Forbury Rd,prison
Pollsmoor Prison,Steenberg Rd,prison
United Colors of Benetton,,prison
Leeuwkop Correctional Services,Bryanston,prison
Chi Hoa Prison Center,Ho Chi Minh City,prison
Sing Sing Correctional Facility,Ossining,prison
ICRC,Tartus‎,prison
Kriminalvårdsanstalten Hall,Södertälje,prison
New Bilibid Prison,Muntinlupa,prison
Clinton Correctional Facility,Dannemora,prison
Metropolitan Correctional Center,New York,prison
Xerox,,prison
Philadelphia Department of Prisons House of Corrections,Philadelphia,prison
Manhattan Detention Complex,New York,prison
Attica Correctional Facility,Attica,prison
Lancaster County Prison,Lancaster,prison
Central Prison,Raleigh,prison
Marion Correctional Institution,Marion,prison
NYSDOC Eastern Correctional Facility,Napanoch,prison
Stateville Correctional Center,Crest Hill,prison
HM Prison,,prison
Indiana State Prison,Michigan City,prison
Lieber Correctional Institute,Ridgeville,prison
Bo La Prison,Binh Duong,prison
Prison,Senoia,prison
United States Penitentiary Atlanta,Atlanta,prison
State Prison,,prison
Florida State Prison,Raiford,prison
Montana State Prison,Deer Lodge,prison
Folsom State Prison,Represa,prison
Prison Six,,prison
HaKarmel Prison,,prison
مخفر التعتور - منطقة البدّاوي,,prison
يوسف حمايده ( ابو المعتصم ),,prison
Megiddo Prison,,prison
בית מעצר פתח תקווה,Petah Tikva,prison
Shita Penitentiary,,prison
Bab Al Hawa Prison,,prison
The Hadarim Detention Center,,prison
مركز اصلاح وتأهيل اربد (باب الهواء),Unnamed Road,prison
Irbid prison,,prison
Tel Aviv Detention,Tel Aviv-Yafo,prison
مركز اصلاح وتأهيل الرميمين,Unnamed Road,prison
Umm Lulu Prison,,prison
Hasharon Prison,,prison
مكتب شام للعقارات,As Suwayda,prison
Ashmoret Penitentiary,,prison
Ofer Prison,,prison
Ayalon Prison,,prison
Perrin prison,,prison
Maasiyahu Prison,,prison
Loris Restaurant,Beirut,restaurant
Em Sherif Cafe,,restaurant
Enab Restaurant,,restaurant
Al Falamanki Sodeco,,restaurant
T-Marbouta,Beirut,restaurant
Café Em Nazih,Beirut,restaurant
Mounir,Broumana,restaurant
Em Sherif,,restaurant
Al Halabi Restaurant,,restaurant
El Denye Hek,Beirut,restaurant
Restaurant UMMI,,restaurant
3anbar Restaurant _ عنبر بيروت _ Anbar Beirut,Beirut,restaurant
Jaï Asian restaurant,,restaurant
Abu Naim,Beirut,restaurant
Bou Melhem,Sin El Fil Dimitri El Hayek Street Sin El Fil,restaurant
Liza,,restaurant
Restaurant L'Os,Ain Saadeh,restaurant
Beirut on the roof,,restaurant
Kahwet Beirut,Beirut,restaurant
Diwan Beirut,,restaurant
Loris Restaurant,Beirut,restaurant
Em Sherif Cafe,,restaurant
Enab Restaurant,,restaurant
Al Falamanki Sodeco,,restaurant
T-Marbouta,Beirut,restaurant
Café Em Nazih,Beirut,restaurant
Mounir,Broumana,restaurant
Em Sherif,,restaurant
Al Halabi Restaurant,,restaurant
El Denye Hek,Beirut,restaurant
Restaurant UMMI,,restaurant
3anbar Restaurant _ عنبر بيروت _ Anbar Beirut,Beirut,restaurant
Jaï Asian restaurant,,restaurant
Abu Naim,Beirut,restaurant
Bou Melhem,Sin El Fil Dimitri El Hayek Street Sin El Fil,restaurant
Liza,,restaurant
Restaurant L'Os,Ain Saadeh,restaurant
Beirut on the roof,,restaurant
Kahwet Beirut,Beirut,restaurant
Diwan Beirut,,restaurant
Babel,,restaurant
Znoud El Sett restaurant,"Al Andalus Street, Raouche",restaurant
Leila Restaurant Zaitunay Bay مطعم ليلى,Zaitunay Bay,restaurant
Batchig,Kassis street,restaurant
Bay Rock Cafe,General De Gaulle,restaurant
Ksar Lebanese Diner,"Crossroad, Voie 13",restaurant
Babel Restaurants,Dbayeh Highway,restaurant
Feniqia,,restaurant
Manuella Restaurant,معاملتين جونية، Jounieh,restaurant
ABDO Restaurant,,restaurant
La Paillote Seafood Restaurant,Ain el Mreisseh,restaurant
Lekme Al Baladi,,restaurant
Amar Harissa - قمر,,restaurant
Maiida Barbecue Seif,Jounieh -fouad chehab Street - Maiida Barbecue Seif,restaurant
Karamna Lebanese Restaurant كرمنا,Ain Al Mraiseh,restaurant
Semsom ABC Verdun,,restaurant
Nasma City Centre Beirut,Elias El Hrawi,restaurant
Al Sultan Brahim,Beirut Waterfront Down Town,restaurant
Karizma Restaurant,"Biel , Water Front",restaurant
La Crêperie,"Kaslik, Jounieh",restaurant
Falafel Abou André,,restaurant
Abdel Wahab,Beirut,restaurant
KAHWET AZMI,,restaurant
Leila Min Lebnen - Zaitunay Bay,"Zaitunay Bay, Minet Al Hosn, Beirut, Beirut, Lebanon",restaurant
Kasr Fakhreddine - Restaurant,,restaurant
Al Sultan Brahim,,restaurant
Adonis Restaurant,,restaurant
Cocteau Restaurant,,restaurant
Tabliyit Massaad,Beirut,restaurant
Beit Karam,Beirut,restaurant
SUD Restobar,Beirut,restaurant
Chili's Grill & Bar,Beirut,restaurant
Al Ajami - Restaurant,,restaurant
Zaatar w Zeit,,restaurant
Pacifico,,restaurant
Bedivere Eatery and Tavern,Beirut,restaurant
Abdel Wahab,Beirut,restaurant
Kababji,Beirut,restaurant
Mayrig Beirut,Beirut,restaurant
Leila Min Lebnen,Beirut,restaurant
Fouad Khalil restaurant,Unnamed Road,restaurant
Republic Cafe & Restaurant,Zalka Road,restaurant
Bayt Em Nazih,Beirut,restaurant
Kababji,Beirut,restaurant
Set El Hesen مطعم ست الحسن,,restaurant
Bartartine- Mar Mkhayel,Beirut,restaurant
Cantina Sociale,,restaurant
Ritage by Maroun Chedid,Beirut,restaurant
Al Falamanki Raouche,,restaurant
Le Canoe,Zouk Mosbeh,restaurant
Onno Bistro,,restaurant
Tawlet,Beirut,restaurant
Outdoor Restaurant,,restaurant
Prune,Beirut,restaurant
Casablanca,Beirut,restaurant
Centrale,Beirut,restaurant
Zaatar W Zeit,,restaurant
Restaurant Varouj,,restaurant
Esclapio,Douma,restaurant
Pikasso Forn,,restaurant
Le Jardin Du Royal Restaurant,"Dbayeh, Le Royal Hotel 5th floor Beirut Lebanon",restaurant
La2mouche,,restaurant
River Rock Restaurant,Bcharry,restaurant
Babel Bahr,,restaurant
Le Chef,,restaurant
L'Avenue Du Parc,Beirut,restaurant
al hindi,,restaurant
Mikhael Restaurant,,restaurant
Zaatar w Zeit,Beirut,restaurant
Villa Badaro,Beirut,restaurant
Fawzi Burj Al Hamam - Hamra,,restaurant
Ahwak,,restaurant
Al Mazar - Restaurant,,restaurant
La Parrilla Summer,,restaurant
Tavolina,Beirut,restaurant
Sawani Falfoul,Beirut,restaurant
Chez Pépé,,restaurant
The Grill,Beirut,restaurant
Barometre,Beirut,restaurant
Chopsticks,Mirna Chalouhi,restaurant
Snack and pizzeria Barbar,,restaurant
Bartartine - Restos St. Nicolas,Beirut,restaurant
DIVVY,,restaurant
New Indo-Lanka Restaurant,51M,restaurant
Café Badaro,Beirut,restaurant
Manuella,Jounieh,restaurant
La Parrilla,,restaurant
Society Bistro,,restaurant
Mhanna Sur Mer,,restaurant
Brooklyn Pizza Spot,Mansourieh,restaurant
مطعم الشمس عنجر,Anjar,restaurant
Nahawand,Antelias Rd,restaurant
Locanda A La Granda,Pepe Abed Street,restaurant
Lebanon,,restaurant
The Backyard Hazmieh,Hazmiyeh,restaurant
Mosaic Restaurant,Beirut,restaurant
Swiss Butter,,restaurant
Zone,,restaurant
Noy Restaurant,,restaurant
Tucano Lebanon,,restaurant
Couqley French Bistro _ Gemmayze,Beirut,restaurant
La Nonina Pizzeria,Beirut,restaurant
Kampaï,Beirut,restaurant
Al Abdallah,,restaurant
Indigo on the Roof,Beirut,restaurant
Truffled,district Lebanon,restaurant
Lebanese restaurant,,restaurant
ترويقة البلد Tirwiyat al Balad,,restaurant
Burgundy Restaurant,,restaurant
Lily's,Beirut,restaurant
Outdoor Restaurant,,restaurant
Seray Brasserie Libanaise,,restaurant
Massaya Zaman Restaurant,,restaurant
Place de l'Etoile,,restaurant
Bartartine - Dbayeh,Dbayeh Internal Road Dbayeh,restaurant
Al Shams Restaurant,Aanjar,restaurant
Tallet Abou Zeid,Zahlé,restaurant
O Bois Restaurant,,restaurant
Makan,Beirut,restaurant
Beit Youssef restaurant,Harissa,restaurant
Murray,Antelias,restaurant
Lala Chicken 1967,,restaurant
Café Libanais,,restaurant
El Brimo,Beirut,restaurant
Skirt,Beirut,restaurant
Seray,Beirut,restaurant
Sahebna,Baouchriyeh,restaurant
Al Zahraa Shawarma,,restaurant
"Nour (Նուռ), Fine Armenian Cuisine",Beirut,restaurant
CHOPSTICKS,,restaurant
بيروتي عتيق / Beiruti Atik,Beirut,restaurant
Al Saniour Seaview,Sahel Aalma,restaurant
Al Fanar Restaurant & Auberge,,restaurant
Brassica Restaurant,,restaurant
Paramount lebanese kitchen,,restaurant
Barbar احلى شاورما ومناقيش,Beirut,restaurant
Al-Karam Restaurant,,restaurant
L'AVO,Beirut,restaurant
Casino Nmeir,Zahlé,restaurant
Dunya Restaurant,,restaurant
ASH by Eddy Diab,,restaurant
Stove Restaurant & Terrace,,restaurant
"Bartartine - The Backyard, Hazmieh","Hazmieh, Baabda district",restaurant
Appetito Trattoria Hamra,,restaurant
Fadel Restaurant,Bikfaiya,restaurant
Couqley French Bistro _ Dbayeh,Beirut,restaurant
Osaka Sushi Lounge,Beirut,restaurant
Chopsticks,,restaurant
Gavi,,restaurant
BeBabel Restaurant,Beirut,restaurant
- Restaurant Fouad Khalil - مطعم فؤاد خليل,,restaurant
Resto Ghazar,,restaurant
Le Phoenicien,Beirut,restaurant
Dawood Basha,,restaurant
Boubouffe,,restaurant
MÉTROPOLE,Beirut,restaurant
The Beirut Cellar,Beirut,restaurant
Rossini Osteria e Caffè - Phoenicia Hotel,Beirut,restaurant
Mum & I,Beirut,restaurant
Massaya,,restaurant
Punta Del Este,Jounieh,restaurant
Little China,,restaurant
Kronfol Restaurant,"Naqqache,",restaurant
"Bartartine - Dunes, Verdun",Beirut,restaurant
Zaituna Bay,Beirut,restaurant
HOLLYFOOD American Restaurant,,restaurant
Amaleen Cafe & Restaurant,Zahlé,restaurant
Inka Beirut,Beirut,restaurant
KFC,Jal El Dib,restaurant
Hardee's,Beirut,restaurant
Jalsat,,restaurant
Kronfol - Broumana Villa,,restaurant
OBI urban sushi,Beirut,restaurant
"Chopsticks, Sin el Fil",Charles de Gaulle St,restaurant
Mandarine,,restaurant
Stone Restaurant & Lounge,Zouk Mkayel,restaurant
Sydney's Beirut,,restaurant
Onno Bistro,,restaurant
Square Cafe Sodeco,,restaurant
Ahwet Zeitouna,"District, Lebanon",restaurant
BRGR Co.,Beirut,restaurant
Balthus,,restaurant
Citywalk Hazmieh,,restaurant
Lamb House Restaurant,,restaurant
KFC,Hazmiyeh,restaurant
Gordon's Café,Beirut,restaurant
Roadster Diner,,restaurant
Shah Restaurant,,restaurant
Manuccini's,Achrafieh,restaurant
saj mahal lebanon,,restaurant
The Bosta - Kaslik,,restaurant
L'Autre Bistro,Beirut,restaurant
Tourist restaurant,,restaurant
Abou el Zouz - Lebanese Grill Restaurant,,restaurant
Appetito Trattoria Gemmayzeh,,restaurant
DON,Tabaris,restaurant
Al Delb - Restaurant,,restaurant
SAX,,restaurant
Le2metna,,restaurant
