section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-location,section-result-info 2,section-result-info 3
Damon prison,3.5,(10),Prison,+972 8-977-6666,https://www.gov.il/he/Departments/prison_service,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Prison Tsalmon,3.4,(8),Prison,+972 8-977-6666,http://www.ips.gov.il/Web/He/Prisons/Districts/North/Zalmon/Default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Prison Six,3.4,(18),Prison,,https://www.gov.il/he/Departments/prison_service,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
HaKarmel Prison,,,Prison,+972 8-977-6666,http://ips.gov.il/Web/He/Prisons/Districts/North/Karmel/Default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Tadmor Palmyra Prison,3.1,(51),Prison,,,,,,,
Lefkoşa Merkezi Ceza Evi,5.0,(1),Prison,,,,,,,
السجن المركزي باللاذقية البصة,1.7,(95),Prison,,,,,,,
يوسف حمايده ( ابو المعتصم ),5.0,(1),Prison,+962 7 9935 0730,,,,,,
בית מעצר פתח תקווה,2.0,(4),Prison,+972 8-977-6666,,,,Yehoshua Shtampfer St 53,,
Megiddo Prison,2.7,(11),Prison,+972 8-977-6666,http://www.ips.gov.il/Web/He/News/ContactUs/Default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Beirut New US Embassy Campus,4.5,(2),Embassy,04 543 600,https://lb.usembassy.gov/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
مركز اصلاح وتأهيل الرميمين,4.0,(4),Prison,01 810 170,http://www.jordanews.com/jordan/8365.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Unnamed Road,,
Bab Al Hawa Prison,3.8,(13),Prison,,https://www.isalna.com/335257/%D8%A7%D9%8A%D9%86-%D9%8A%D9%82%D8%B9-%D8%B3%D8%AC%D9%86-%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D9%87%D9%88%D9%89,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
The Hadarim Detention Center,3.0,(1),Prison,01 740 942,,,,,,
Tel Aviv Detention,3.1,(16),Prison,+972 8-977-6666,http://www.ips.gov.il/Web/He/Prisons/Districts/Central/TelAviv/Default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Derekh Ben-Zvi 82,,
مركز اصلاح وتأهيل اربد (باب الهواء),2.4,(8),Prison,,,,,Unnamed Road,,
Hasharon Prison,3.9,(14),Prison,+972 9-899-4201,http://www.ips.gov.il/Web/He/Prisons/Districts/Central/Sharon/Default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Irbid prison,3.3,(3),Prison,,http://www.ahdath24.com/article/123458,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
قصر العدل - Palace Of Justice,4.0,(2),City courthouse,+972 8-977-6777,,,,,,
