section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,Unnamed: 7
Loris Restaurant,4.5,"-1,409",Lebanese,Beirut,Open until 1:30 AM,,
Em Sherif Cafe,4.5,"-1,143",Lebanese,,Open until 3:00 AM,,
Enab Restaurant,4.2,-979,Lebanese,,Open until 1:00 AM,,
Al Falamanki Sodeco,4.0,"-1,680",Lebanese,,,,
T-Marbouta,4.5,"-1,980",Lebanese,Beirut,Open until 1:00 AM,,
Café Em Nazih,4.4,"-2,722",Lebanese,Beirut,Open until 4:00 AM,,
Mounir,4.4,"-2,544",Lebanese,Broumana,Open until 12:00 AM,,
Em Sherif,4.5,"-1,061",Restaurant,,Open until 2:00 AM,,
Al Halabi Restaurant,4.5,-716,Lebanese,,Open until 12:00 AM,,
El Denye Hek,4.3,-926,Lebanese,Beirut,Open until 1:00 AM,,
Restaurant UMMI,4.3,-308,Lebanese,,Open until 12:00 AM,,
3anbar Restaurant _ عنبر بيروت _ Anbar Beirut,4.3,-345,Lebanese,Beirut,Open until 3:00 AM,,
Jaï Asian restaurant,4.6,-476,Thai,,Closing soon: 11:00 PM,,
Abu Naim,4.4,-308,Lebanese,Beirut,Open until 1:00 AM,,
Bou Melhem,4.2,"-1,046",Lebanese,Sin El Fil Dimitri El Hayek Street Sin El Fil,Open until 12:00 AM,,
Liza,4.4,-564,Restaurant,,Open until 11:30 PM,,
Restaurant L'Os,4.4,-942,Lebanese,Ain Saadeh,Open until 12:00 AM,,
Beirut on the roof,4.3,-65,Lebanese,,Open until 12:00 AM,,
Kahwet Beirut,4.2,-829,Lebanese,Beirut,Open until 4:00 AM,,
Diwan Beirut,4.4,-600,Lebanese,,Open until 12:00 AM,,
Loris Restaurant,4.5,"-1,409",Lebanese,Beirut,Open until 1:30 AM,,
Em Sherif Cafe,4.5,"-1,143",Lebanese,,Open until 3:00 AM,,
Enab Restaurant,4.2,-979,Lebanese,,Open until 1:00 AM,,
Al Falamanki Sodeco,4.0,"-1,680",Lebanese,,,,
T-Marbouta,4.5,"-1,980",Lebanese,Beirut,Open until 1:00 AM,,
Café Em Nazih,4.4,"-2,722",Lebanese,Beirut,Open until 4:00 AM,,
Mounir,4.4,"-2,544",Lebanese,Broumana,Open until 12:00 AM,,
Em Sherif,4.5,"-1,061",Restaurant,,Open until 2:00 AM,,
