section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2,section-result-info 3,section-result-description
Layalcosmeyi,5.0,(7),Cosmetics store,70 100 030,,,,
Perle chocolate,4.2,(118),Chocolate shop,Closed,Met7at basha Beirut,Opens at 9:00 AM,03 816 540,
Akiki's Cigars,4.7,(31),Cigar shop,,El Maarad,,01 995 050,
Ellina Lingerie Shop,4.3,(7),Lingerie store,Closed today,,,03 827 865,
Printandrock,4.5,(74),Custom t-shirt store,Closed today,,,03 481 925,
The Body Shop,3.7,(9),Beauty supply store,Closed,,Opens at 10:00 AM,01 757 131,"Shower gels, creams, soaps & more"
Stop And Shop,4.2,(283),Supermarket,Closed,,Opens at 7:00 AM,09 217 241,Supermarket for groceries & more
The Daily Roast,3.9,(13),Coffee shop,Closed,,Opens at 8:00 AM,71 176 685,
Maryoume Shop,4.0,(1),Clothing store,01 274 966,,Closing soon: 11:00 PM,,
Bizzare Shop,4.0,(2),Clothing store,Closed today,,Opens at 10:00 AM,01 736 636,Designer apparel & fragrance retailer
Cookie Dough Boutique,4.7,(24),Children's clothing store,Closed today,"1330, Park Avenue Bldg General Francois El Hajj Avenue Mina",,01 993 991,
Captain's Shop,5.0,(1),Home goods store,Closed today,,Opens at 10:00 AM,01 586 265,
American Eagle Outfitters,4.3,(102),Clothing store,Closed,"Plot 1711 Hamra Street, RAS Beirut Estate Area",Opens at 10:00 AM,01 348 366,"On-trend casualwear, shoes & accessories"
Bohemia Royal Crystal,5.0,(1),Gift shop,Closed today,,,01 641 073,
Louis Vuitton Beirut,4.5,(133),Leather goods store,Closed today,Allenby Street Fakhri Bey Beirut,,01 966 810,Luxury brand for handbags & more
The Body Shop,5.0,(1),Cosmetics store,Closed,Spinneys Jnah,Opens at 10:00 AM,01 757 141,"Shower gels, creams, soaps & more"
Gucci,4.4,(34),Women's clothing store,Closed,141 El Moutran,Opens at 10:00 AM,01 991 111,Luxury Italian-designed fashions
Khzente ya Khzente خزانتي يا خزانتي,4.4,(8),Clothing store,,,,03 996 802,
Brands for less - Kaslik,3.8,(363),Outlet store,Closed,Sea Side Rd,Opens at 10:00 AM,76 837 583,"Shower gels, creams, soaps & more"
Sesobel Shop Ashrafiyeh,,,Store,Closed today,"Beydoun Street، Tueny Building, 1st Floor،",,01 216 458,
