section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Lebanese German University,3.8,(22),University,Main,Closed today,09 938 938,http://www.lgu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Economical Sciences And Business Administration | Branch 2,3.5,(12),Public university,,,01 201 766,https://www.ul.edu.lb/faculte/branches.aspx?facultyId=11,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Arts, Sciences and Technology University in Lebanon, Dekwaneh Campus",4.5,(10),University,"Behind Municipality, Dekwaneh,",,01 689 306,http://www.aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Arab Open University, Lebanon",4.1,(29),University,,Closed today,01 392 139,http://www.aou.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Science,3.7,(36),University,,Closed today,01 680 248,https://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Lebanese American University, Byblos Campus",4.8,(103),Private university,,,09 547 254,http://www.lau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
West Hall - American University of Beirut,4.8,(4),University,,,01 350 000,http://www.aub.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Saint Joseph University - CST campus,4.6,(30),University,,Closed today,01 421 302,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ESA Business School,4.5,(42),University,289,,01 373 373,https://www.esa.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Architecture,4.7,(6),University,,Closed today,01 218 717,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Lebanese International University, Mount Lebanon Campus",4.5,(15),University,,Closed today,01 490 543,http://liu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Faculty Of Agronomy And Veterinary Medicine,3.4,(11),Public university,,Closed today,01 484 131,http://sisol.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Tourism And Hospitality,5.0,(10),University,,Closed today,01 857 285,https://ul.edu.lb/faculte/branches.aspx?facultyId=18,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Of Fine Arts,4.0,(19),University,,Closed today,01 387 911,http://www.ul.edu.lb/faculte/branches.aspx?facultyld=10,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Lebanese Canadian University, Hadath",4.5,(2),University,,Closed today,01 575 700,,,
AOU Antelias,4.8,(5),University,AOU,Closed today,04 404 101,http://aou.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Central Administration,5.0,(6),University,"Badaro, Museum",Closed today,01 612 830,https://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Centre Science du Language et de la Communication,4.3,(8),Public university,Lebanese University - Faculty of Architecture,Closed today,70 976 388,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Islamic University Imam al-Auzā'ī,4.2,(91),Private university,Beirut - Municipal Stadium Street - Yasmin Building,Closed today,01 705 080,http://ouzai.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Université Saint Joseph - Campus des Sciences Médicales CSM // University Saint Joseph​ - Medical Science Campus,4.7,(23),Medical school,Damascus,Closed today,01 421 000,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese International University (Block G),4.8,(4),University,,Closed today,01 706 881,http://www.liu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Arts, Sciences and Technology University in Lebanon, Kaslik Campus",4.0,(8),University,,,09 211 072,http://www.aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Académie Libanaise des Beaux Arts,4.6,(23),Private university,Sin El Fil,Closed today,01 502 370,http://www.alba.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AUL university,5.0,(1),University,,Closed today,01 689 306,http://aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty of Sciences and Fine Arts,3.7,(36),University,,Closed today,01 680 248,,,
Lebanese University - Faculty of Litterature,3.6,(10),University,,,01 483 013,http://www.ul.edu.lb/flsh,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Faculty of Law,3.5,(4),University,,,01 350 000,,,
Lebanese University - Ecole Doctorale,4.6,(30),University,,Closed today,01 421 302,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
USAL - University Of Sciences And Arts In Lebanon,4.8,(12),University,Airport Road,Closed today,01 453 003,http://www.usal.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Arts, Sciences and Technology University in Lebanon (Sin El Fil Campus)",1.0,(1),University,,Closed today,01 218 717,http://aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Usj -faculty Of Business Administration&managment,3.0,(2),University,,Closed today,01 421 000,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sagesse university,3.4,(11),Private university,,Closed today,01 294 442,http://uls.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Humanities,5.0,(10),University,,Closed today,01 612 830,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"American University of Technology, Halat Campus",3.9,(18),University,,Closed today,09 478 144,http://www.aut.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Faculty of Information,1.0,(1),University,,Closed today,01 792 471,https://www.ul.edu.lb/faculte/branches.aspx?facultyId=9,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Information 2,3.8,(19),University,,Closed today,01 882 023,http://www.fi2.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
MUBS,5.0,(1),University,,Closed today,01 612 830,http://www.mubs.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Engineering II,4.6,(42),Public university,,Closed today,04 872 205,http://ulfg.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Al Maaref University,4.5,(19),University,Airport Bridge,Closed today,01 820 930,http://mu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Saint Joseph University - Huvelin,4.7,(23),University,,Closed today,01 421 000,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pigier - University,4.8,(4),University,,Closed today,01 447 899,http://pigierme.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St Joseph University & Cathedral,5.0,(6),University,,,09 211 072,,,
AUB CHSC Gate,3.6,(10),Private university,,Closed today,01 350 000,http://www.aub.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Joseph Univesity,5.0,(1),University,,Closed today,01 689 306,,,
La Sagesse University Faculty of Hospitality Management,4.6,(19),University,,Closed today,01 447 444,http://www.shi.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Doctoral School of Literature, Humanities & Social Sciences. Lebanese University",5.0,(1),University,,,01 489 684,https://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Naccache,5.0,(3),University,,,04 412 448,,,
عمادة كلية الآداب والعلوم الإنسانية في الجامعة اللبنانية,3.5,(4),Public university,,Closed today,01 483 012,http://www.ul.edu.lb/flsh,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AUCE - Baouchrieh Campus (American University of Culture & Education),4.7,(3),University,Camil Chamoun,Closed today,01 689 492,http://www.auce.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
American University of Culture and Education,4.0,(2),University,,Closed today,03 959 543,http://www.auce.edu.lb/contact-us,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Jinan Univeristy Office,3.0,(2),University,,Closed today,01 743 749,http://www.jinan.edu.lb/pages/en/Beirut-Office,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Université pour Tous/UPT,3.4,(11),Open university,,Closed today,01 421 800,https://www.usj.edu.lb/upt/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University,5.0,(10),University,,Closed today,03 919 678,http://www.balamand.edu.lb/main/Pages/default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Doctoral School Of Law, Political, Administrative And Economic Sciences - Lebanese University",3.9,(18),University,,Closed today,09 478 144,,,
C & E - University,5.0,(1),University,,Closed today,01 792 471,,,
Lu - Unesco - University,3.0,(3),University,,Closed today,03 666 690,,,
LU University Faculty Of Science 4th Branch,3.7,(6),University,,Closed today,08 812 553,https://www.ul.edu.lb/faculte/branch.aspx?branchId=20,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mutuelle Profs - Université Libanaise,4.6,(42),Public university,,Closed today,01 841 348,,,
LAU Lower Gate,3.8,(8),University,,Closed today,01 786 456,http://www.lau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Payables,4.7,(23),University,,Closed today,01 421 000,http://www.lau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Law,3.8,(5),University,,Closed today,04 712 052,http://droit.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Forn L Chebbak,4.0,(4),Public university,,,09 211 072,,,
