section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2
La Babiole wedding cards,4.8,(9),Wedding service,Closed today,,
Polygon wedding furniture,5.0,(2),Wedding service,Closed today,Kaslik,
Splend' Or,4.5,(30),Wedding venue,Closing soon: 11:30 PM,Amioun - Ehden Rd,
Jardin Des Lys,4.2,(82),Wedding venue,,,
Hanna StarLand (Gymasum and Sports club),5.0,(2),Wedding venue,,,Closed today
Platane Wedding Venue North Lebanon,5.0,(4),Wedding venue,,,
The Forest Venue Mar Challita Jouret el Termos,4.3,(37),Wedding venue,,Ghedres,
7eme ciel,4.7,(14),Wedding venue,,,
Jewelz wedding cars,5.0,(2),Wedding service,,,
Moses'garden,5.0,(1),Wedding venue,,,
L'heritage Venue,4.5,(2),Wedding venue,,Nahr El Kalb,
Pascal Azar Photography,5.0,(5),Wedding photographer,Closed today,,
Lavender Ville Wedding Venue,4.0,(23),Event venue,,,
أزهار الوسيم,4.1,(13),Wedding planner,Closed,"العبده, مفرق المحمره",Opens at 9:00 AM
Le Clos De Faqra,4.3,(80),Wedding venue,,Kfardebian,
Villa Chambour,4.3,(27),Wedding venue,,,
صالة أفراح مطل القمر,4.6,(12),Wedding venue,,,Closed today
BridaLeb,4.4,(283),Wedding planner,,,
I deal events S. A. R. L,5.0,(13),Wedding planner,Closed today,,
Vol D'oiseau,4.2,(318),Wedding venue,Opens at 8:00 AM,,Closed
Eternity Hamat Village,5.0,(1),Wedding venue,,,Closed today
Fasatine,5.0,(2),Wedding dress rental service,Closed today,,
Studiocarre by Claude Fadel,5.0,(1),Wedding photographer,Closed today,jounieh,Closing soon: 11:30 PM
PRO DJ Group By Ahmad Karakira,5.0,(1),Wedding planner,Closed,,Opens at 9:00 AM
Jupiter,4.8,(16),Wedding venue,,Bnachii,Closed today
Crystal Ballroom,5.0,(4),Wedding venue,,,
Roche doree,3.9,(88),Wedding venue,,,
GK WEDDING,5.0,(1),Event venue,,,
Jardin Des Roches,4.5,(6),Wedding venue,,,
Light Photo - Adonis,4.8,(24),Wedding photographer,Closed today,Zouk Mosbeh,
Studio Georges Abi Rached,4.6,(5),Wedding photographer,Closed today,,
Jardin D'eden,4.1,(21),Wedding venue,,,Closed today
River Garden,4.0,(23),Wedding venue,,,
Venezia Gardens,3.3,(141),Wedding venue,Closed,Faitroun,Opens at 8:00 AM
Al Masaya Wedding Hall,3.6,(40),Wedding planner,,Tripoli,Open until 1:00 AM
Art Studio - Dany Lahoud - Zouk Mosbeh,4.8,(9),Wedding photographer,Closed today,Zouq Mosbeh - Aajaltoun Rd,
Plaza Palace,3.9,(142),Wedding venue,Closed,,Opens at 10:00 AM
Leylandii,3.8,(4),Wedding venue,,,Open until 3:00 AM
The History Wedding Venue,4.3,(44),Wedding venue,,,Closed today
mswr,3.8,(9),Wedding photographer,Closed today,Mina Tripoli,Opens at 8:00 AM
Studio Magic Star,3.7,(3),Wedding photographer,Closed today,Tripoli,
Villa De Las Flores,5.0,(8),Wedding venue,,,Closed today
KFARSAMA,5.0,(3),Wedding venue,Closing soon: 11:30 PM,,Closed today
Studio Yehya,5.0,(6),Wedding photographer,Opens at 9:00 AM,,Closed
L’heritage Venue,4.1,(21),Wedding venue,,,Closed today
CheezStudios,4.7,(20),Wedding photographer,Closed today,Tripoli,
