section-result-title,section-result-location,category
damon,,prison
tsalmon,,prison
six,,prison
hakarmel,,prison
tadmor palmyra,,prison
lefkoşa merkezi ceza evi,,prison
السجن المركزي باللاذقية البصة,,prison
يوسف حمايده ( ابو المعتصم ),,prison
בית מעצר פתח תקווה,Yehoshua Shtampfer St 53,prison
megiddo,,prison
beirut new us embassy campus,,prison
مركز اصلاح وتأهيل الرميمين,Unnamed Road,prison
bab al hawa,,prison
the hadarim detention center,,prison
tel aviv detention,Derekh Ben-Zvi 82,prison
مركز اصلاح وتأهيل اربد (باب الهواء),Unnamed Road,prison
hasharon,,prison
irbid,,prison
قصر العدل - palace of justice,,prison
umm lulu,,prison
batroun municipality,,prison
ashmoret penitentiary,,prison
سجن إدلب,60,prison
perrin,,prison
samandağ,Samandağ,prison
مكتب شام للعقارات,As Suwayda,prison
altınözü ceza evi,Altınözü,prison
bomonti development,Nicosia,prison
hatay t type closed,,prison
مركز اصلاح وتأهيل الزرقاء، سجن الهاشمية,Unnamed Road,prison
hatay open,Antakya,prison
almcza,,prison
سجن رميمين rmemin,,prison
jweida,Amman,prison
al saltسجن السلط,,prison
reyhanlı kapalı cezaevi,Reyhanlı,prison
سجن حلب المؤقت,,prison
rakka main,,prison
kırıkhan ceza evi,Kırıkhan,prison
saharonim,,prison
karataş kapalı cezaevi,,prison
i̇skenderun m tipi kapalı ve açık ceza i̇nfaz kurumu,,prison
erdemli k2 tipi kapalı cezaevi,,prison
مركز اصلاح وتأهيل ناعور,,prison
معتقل القرية الخامسة للاجئين السوريين,Al-Azraq Camp,prison
silifke m type closed,Silifke,prison
i̇slahiye ceza ve tevkif evi,İslahiye,prison
tarsus,Tarsus,prison
انضباط الدفاع المدني,Amman,prison
swaqa rehabilitation center,,prison
kilis ceza i̇nfaz kurumları,,prison
gaziantep,,prison
anamur t tipi kapalı ceza i̇nfaz kurumu,,prison
osmaniye t type closed,,prison
nizip cezaevi,,prison
toprakkale,Tüysüz/Toprakkale,prison
akçakale kapalı cezaevi,,prison
halfeti kapalı cezaevi,,prison
karaman m type closed,,prison
سجن اورفا المركزي,Şanlıurfa Merkez,prison
gaziantep l tipi kapalı ceza i̇nfaz kurumu,,prison
جمعية حماية الأحداث,Hama,prison
cezaevi,Kâhta,prison
bakkallar- şutim taziye evi,Haliliye,prison
sanliurfa e type closed and open,Şanlıurfa Merkez,prison
mouqarسجن الموقر,,prison
siverek eski cezaevi,Siverek,prison
سجن سويريك,,prison
car protech,Roumieh,prison
beyşehir a3 tipi ceza evi,Beyşehir,prison
tarsuscampus,,prison
