KADAA_ID,KADAA_AR,KADAA_EN,sentiment
11000,عكّار,Akkar,0.150961953781351
21000,الهرمل,El Hermel,0.06760878356179034
22000,بعلبك,Baalbek,0.0539667859473704
31000,بيروت,Beirut,0.06322908601134328
41000,زحلة,Zahle,0.07410061190242231
42000,البقاع الغربي,West Bekaa,0.04822063173780723
43000,راشيّا,Rachaya,0.07101826109884916
51000,بعبدا,Baabda,0.0768130585676293
52000,المتن,El Meten,0.057113438373678486
53000,الشّوف,Ech Chouf,0.0633623364536988
54000,عاليه,Aley,0.06746596385150476
55000,كسروان,Kesserouane,0.07022210954969832
56000,جبيل,Jbeil,0.07583146004119823
61000,النبطيّة,El Nabatieh,0.10632179163429165
62000,بنت جبيل,Bent Jbeil,0.06707023561034882
63000,مرجعيون,Marjaayoun,0.06703140434464201
64000,حاصبيّا,Hasbaya,0.059562935667972175
71000,طرابلس,Tripoli,0.07138459696049855
72000,الكورة,El Koura,0.06808118207053201
73000,زغرتا,Zgharta,0.08790773676045231
74000,البترون,El Batroun,0.057253131040079216
76000,بشرّي,Bcharre,0.043499577717314594
77000,المنية-الضنّية,El Minieh-Dennieh,0.0741888249525992
81000,صيدا,Saida,0.04447513258122304
82000,جزّين,Jezzine,0.07471524107770594
83000,صور,Sour,0.05782118506660801
