date,year,month,day,total_cases,new_cases,total_deaths,new_deaths
2020-02-01,2020,02,01,0.0,0.0,0.0,0.0
2020-02-02,2020,02,02,0.0,0.0,0.0,0.0
2020-02-03,2020,02,03,0.0,0.0,0.0,0.0
2020-02-04,2020,02,04,0.0,0.0,0.0,0.0
2020-02-05,2020,02,05,0.0,0.0,0.0,0.0
2020-02-06,2020,02,06,0.0,0.0,0.0,0.0
2020-02-07,2020,02,07,0.0,0.0,0.0,0.0
2020-02-08,2020,02,08,0.0,0.0,0.0,0.0
2020-02-09,2020,02,09,0.0,0.0,0.0,0.0
2020-02-10,2020,02,10,0.0,0.0,0.0,0.0
2020-02-11,2020,02,11,0.0,0.0,0.0,0.0
2020-02-12,2020,02,12,0.0,0.0,0.0,0.0
2020-02-13,2020,02,13,0.0,0.0,0.0,0.0
2020-02-14,2020,02,14,0.0,0.0,0.0,0.0
2020-02-15,2020,02,15,0.0,0.0,0.0,0.0
2020-02-16,2020,02,16,0.0,0.0,0.0,0.0
2020-02-17,2020,02,17,0.0,0.0,0.0,0.0
2020-02-18,2020,02,18,0.0,0.0,0.0,0.0
2020-02-19,2020,02,19,0.0,0.0,0.0,0.0
2020-02-20,2020,02,20,0.0,0.0,0.0,0.0
2020-02-21,2020,02,21,0.0,0.0,0.0,0.0
2020-02-22,2020,02,22,1.0,1.0,0.0,0.0
2020-02-23,2020,02,23,1.0,0.0,0.0,0.0
2020-02-24,2020,02,24,1.0,0.0,0.0,0.0
2020-02-25,2020,02,25,1.0,0.0,0.0,0.0
2020-02-26,2020,02,26,1.0,0.0,0.0,0.0
2020-02-27,2020,02,27,2.0,1.0,0.0,0.0
2020-02-28,2020,02,28,3.0,1.0,0.0,0.0
2020-02-29,2020,02,29,3.0,0.0,0.0,0.0
2020-03-01,2020,03,01,4.0,1.0,0.0,0.0
2020-03-02,2020,03,02,10.0,6.0,0.0,0.0
2020-03-03,2020,03,03,13.0,3.0,0.0,0.0
2020-03-04,2020,03,04,,,,
2020-03-05,2020,03,05,,,,
2020-03-06,2020,03,06,16.0,3.0,0.0,0.0
2020-03-07,2020,03,07,22.0,6.0,0.0,0.0
2020-03-08,2020,03,08,,,,
2020-03-09,2020,03,09,32.0,10.0,0.0,0.0
2020-03-10,2020,03,10,41.0,9.0,0.0,0.0
2020-03-11,2020,03,11,41.0,0.0,1.0,1.0
2020-03-12,2020,03,12,61.0,20.0,2.0,1.0
2020-03-13,2020,03,13,66.0,5.0,2.0,0.0
2020-03-14,2020,03,14,,,,
2020-03-15,2020,03,15,93.0,27.0,3.0,1.0
2020-03-16,2020,03,16,99.0,6.0,3.0,0.0
2020-03-17,2020,03,17,120.0,21.0,3.0,0.0
2020-03-18,2020,03,18,120.0,0.0,3.0,0.0
2020-03-19,2020,03,19,133.0,13.0,4.0,1.0
2020-03-20,2020,03,20,149.0,16.0,4.0,0.0
2020-03-21,2020,03,21,163.0,14.0,4.0,0.0
2020-03-22,2020,03,22,230.0,67.0,4.0,0.0
2020-03-23,2020,03,23,248.0,18.0,4.0,0.0
2020-03-24,2020,03,24,267.0,19.0,4.0,0.0
