location,lat,long,sentiment
أبلج,33.8708,35.9681,0.0
أرز بشرّي,34.2447,36.0394,0.14371830550401982
أرضة,34.4083,35.9149,0.052864583333333326
أسلوط,34.3264,35.9611,0.1759259259259259
أسيا,34.2189,35.7856,0.08269171304885593
أميون,34.3,35.8089,0.02385497835497836
أنصار,33.3784,35.3537,0.17781994507759813
أيطو,34.3078,35.9203,0.1
إعل,34.3622,35.9114,-0.03426527176527175
إهدن,34.2911,35.965,0.5
إهمج,34.1219,35.7853,0.3048130764163373
إيزال,34.3811,35.9828,0.0
إيعات,34.0369,36.1714,0.10732323232323232
ادر,34.4086,36.3928,0.05343926906426907
ار,33.7869,35.5039,0.08703703703703702
ارنايا,34.1042,35.7097,0.2102272727272727
ارو,33.8753,35.5167,0.08482142857142858
اريسي,33.8667,35.5333,0.12261904761904763
اغا,34.5267,36.1319,0.037074239417989416
اغبة,34.0094,35.7092,0.15124007936507938
الأبير,33.5803,35.7017,0.18238025415444772
الأسطبل,33.7481,35.8789,-0.5562499999999999
الأطلبة,34.2689,35.8892,-0.00796717171717171
الأكرمية,33.7206,35.9181,0.5
الأنصيل,34.1614,35.8075,0.0
الأوزاعي,33.8515,35.486,-0.23863636363636365
الأونسكو,33.8806,35.4856,0.0
الا,33.8431,35.7333,0.05865555689089766
البابا,33.5642,35.5425,0.125
البابلية,33.4211,35.3428,-0.0036458333333333343
البارد,34.1539,35.8983,0.00557539682539682
الباروك,33.7064,35.6814,0.395
البازورية,33.2536,35.2711,-0.1111111111111111
الباشورة,33.8927,35.504,0.0
البالوع,34.2558,36.1258,-0.04999999999999999
البجاجة,34.2275,36.3514,-0.12407407407407407
البحارة,34.0514,35.7367,-0.040909090909090916
البحاصيص,34.0561,35.8153,0.41875
البحرة,34.1413,35.8791,0.23703124999999997
البحيرة,34.3233,35.9703,0.024918410901292338
البداوي,34.4538,35.8655,0.01642857142857143
البربارة,34.1933,35.6481,0.0
البربير,33.88,35.5028,0.0
البرجين,33.6578,35.4861,-0.3416666666666667
البرغلية,33.3142,35.2425,0.0
البطال,33.6966,35.4615,0.04979482323232324
البطانة,33.2519,35.535,0.11233164983164984
البطركية,33.89,35.4963,-0.054491341991342
البطية,33.9831,35.6292,0.0
البعلة,34.2067,36.2986,0.0
البقسي,33.6917,35.4443,-0.02978980654761905
البقعة,34.1456,35.6703,0.08140847247990105
البقعون,33.6753,35.4781,0.1
البقول,34.4175,36.3333,0.09128787878787879
البقيعة,34.1933,35.7319,0.08316498316498316
البلاط,33.4125,35.6375,0.048410774410774404
البنا,34.4719,36.1836,0.09706968691599839
البني,33.7361,35.5469,0.04647271588061062
البوار,34.0461,35.6322,-0.0778935185185185
البوشرية,33.8875,35.5561,0.07820833333333334
البيارا,34.1881,35.905,0.2416666666666667
البياض,34.1161,35.6689,-0.1365079365079365
التربيعة,34.4378,35.8433,-0.09722222222222221
التعمير,33.5944,35.3939,0.0
التلة,34.3925,35.8775,0.07376367845117845
التليتة,33.8181,35.6336,0.1398359375
