username,user_link,location,lat,long,sentiment
!! its me !!,https://twitter.com/alialoush02,الشعب,34.0467,35.6489,0.0
"""El Soueidy Charbel"" ''السويدي شربل""",https://twitter.com/soueidy_el,بسوج,33.9125,35.8722,-0.005936507936507944
#BLM,https://twitter.com/Zahraa_Bitar,قرصا,34.0509,35.6856,0.04166666666666665
#ff أستغفر الله,https://twitter.com/easrrk,الهمي,33.9175,35.7147,0.22916666666666663
#icc4israel,https://twitter.com/RashaAdel84,بيروت,33.8719,35.5097,0.13636363636363635
#ثورة_الحمص,https://twitter.com/NE6E587NPADjllq,لاي,33.8533,35.5239,0.1361111111111111
#ثورة_المظلومين,https://twitter.com/mazloom48,الراموط,34.1672,35.7119,-0.016666666666666663
#جنوبيات,https://twitter.com/jamalj1980,مراح دقدوق,33.7594,35.4678,0.44642857142857145
#خذ_وخل,https://twitter.com/vadettabh,حريق الكفور,34.0336,35.6956,0.0
#سعادة_حبيب_سناء,https://twitter.com/ssnp88,لوس,33.6731,35.43,0.24285714285714285
#صور #نكت #لقطات #مقاطع #مقالب #فيديو #مسرحيات,https://twitter.com/omarrr80,بيروت,33.8719,35.5097,-0.125
#لبنان_ينتفض,https://twitter.com/libneni_fesid,مركبتا,34.4533,35.9641,-0.15
#لبنان_ينتفض Abbas Haidar عباس حيدر,https://twitter.com/absi81,الصفرا,34.0371,35.6408,0.16932620475589227
#يحيى_جابر,https://twitter.com/yhya_jaber,بيروت,33.8719,35.5097,0.0
$@faa,https://twitter.com/purity_safaa,مقيتلة,33.7617,35.4653,-0.04999999999999999
'بهاء | èl'ghœul',https://twitter.com/bahaa_ghoul,بعبدا,33.8339,35.5442,0.0
( مريامه) بضل يقلي بشوف فيكي القضيه...,https://twitter.com/MaryamAhmed1948,ديتا,34.3906,36.3797,0.0
( من العالم ),https://twitter.com/mnalalm2030,سلفايا,33.7381,35.5706,0.0
(mhd)mounzer,https://twitter.com/mndarov,بيروت,33.8719,35.5097,0.0
(أخبار تركيا و العالم ) Turkey News,https://twitter.com/fawzikesta,المصالي,34.4089,35.9664,0.06818181818181818
(ٱپن حمٱڨي)⁦,https://twitter.com/RezikHamaki1,لاي,33.8533,35.5239,-0.13333333333333333
*HetjeN Sh.*,https://twitter.com/HetjeN_Sh,الشطحان,33.4122,35.5639,0.0
