location,lat,long,sentiment
Botchaغ,33.8261,35.5439,-0.04166666666666667
آصيا,34.2189,35.7856,0.0
أبلج,33.8708,35.9681,0.1159659090909091
أبو عفتا,34.4333,36.0486,0.0
أدما و الدفنه,34.0228,35.6419,0.0
أرض عبس,34.2703,35.9792,0.5
أرض قناة باقيش,33.9675,35.8197,-0.027500000000000004
أرنون,33.3317,35.5264,0.0
أميون,34.3,35.8089,0.061250000000000006
أنصار,33.3784,35.3537,0.06577380952380953
أنفة,34.3575,35.7308,0.041666666666666664
إدة,34.1403,35.6643,0.05909090909090909
إرزي,33.3331,35.2986,0.06666666666666667
إركي,33.4641,35.4144,0.0
إسطبل,33.5361,35.4619,0.19166666666666665
إهمج,34.1219,35.7853,0.08333333333333333
اركي,33.4641,35.4144,0.06845238095238095
ارنايا,34.1042,35.7097,0.0
ارو,33.8753,35.5167,0.0
اريتا,34.2269,35.7903,0.08333333333333333
اريسي,33.8667,35.5333,0.16666666666666666
اسكندرونا,33.1558,35.1639,0.08333333333333333
الأشرفية,33.8853,35.5196,0.0020833333333333333
الأوزاعي,33.8515,35.486,0.1
الاوزاعي,33.8515,35.486,0.16717171717171714
البابلية,33.4211,35.3428,-0.11833333333333332
البازورية,33.2536,35.2711,0.0
الباشورة,33.8927,35.504,0.0
البحصاص,34.4172,35.8258,0.017857142857142856
البحيرة,34.3233,35.9703,0.4
البداوي,34.4538,35.8655,-0.08299999999999999
البني,33.7361,35.5469,0.05666666666666668
البهيري,34.0839,35.7039,0.0
البوار,34.0461,35.6322,-0.03333333333333333
الجعيتاوي,33.8937,35.5298,0.0
الجليسة,34.1164,35.6911,0.07575231481481481
الجليلية,33.6044,35.5272,-0.05
الجميلية,33.6006,35.4264,-0.05
الجناح,33.8667,35.4833,0.0
الجية,33.6672,35.4272,0.2
الحبيس,33.0858,35.4236,0.0
الحرف,34.335,35.9422,-0.06309523809523811
الحصين,34.0503,35.7119,0.023644179894179898
الحلزون,34.1156,35.73,0.10833333333333328
الحمراء,33.8958,35.4831,0.04494949494949494
الخنادق,33.5531,35.5406,0.08737701692247148
الدكوة,33.6917,35.8761,0.0
الدلغانة,33.5992,35.6075,0.054761904761904755
الدوير,33.3903,35.4177,0.0
الديمان,34.2467,35.9525,0.024147727272727272
الرؤوس,33.5422,35.3917,0.041666666666666664
الرام,34.1847,35.7997,-0.04545454545454547
الرمطانية,33.8361,35.8239,0.4
الرميل,33.8957,35.5168,-0.03333333333333333
الزفات,33.4422,35.5839,-0.125
السعديات,33.6889,35.4253,0.0
السليخ,34.0194,35.7853,0.55
الشالوت,34.3605,35.9898,0.010761784511784505
الشالوط,34.3605,35.9898,0.00767857142857141
الشحال,34.0792,35.6822,0.4
الشطحان,33.4122,35.5639,0.07889197617646959
الشقيق,34.0714,35.6542,0.040273809523809524
الشوم,34.0397,35.7061,0.128125
الصحاري,33.4394,35.5619,0.3666666666666667
الصميطات,34.6539,36.3494,0.2131048147929358
الصنائع,33.8928,35.4902,0.0
الصوانة,33.6371,35.4256,0.06999999999999999
الطراش,33.3992,35.5756,-0.05
الطيري,33.1415,35.4055,-0.05
الظريف,33.8908,35.4928,0.05
العرائش,33.1678,35.3781,0.29583333333333334
العربانية,33.8772,35.6786,-0.036276455026455025
العلالي,34.2049,35.7722,0.275
العليمة,33.2153,35.4125,0.29166666666666663
العويني,34.1192,35.7697,0.007954545454545457
الغابة,33.8873,35.5284,-0.006666666666666666
الغابري,33.5403,35.6753,0.07048340548340548
الغابية,34.1683,35.8978,0.0
الغميقة,33.3847,35.4056,0.375
القص,34.0862,35.7278,0.125
القناية,33.5616,35.3847,0.04666666666666667
القنطرة,33.2733,35.4636,0.0
الكرنتينا,33.900999999999996,35.5344,-0.01333333333333333
الكساير,34.3256,36.2875,0.06771315765363387
الكسران,33.1861,35.3875,0.10496879009544716
المارد,33.2075,35.3997,0.0
المجدية,33.8992,35.5058,-0.051851851851851864
المحطة,34.0228,35.7061,0.05
المرادية,34.0728,35.7064,0.17222222222222222
المريكز,33.1025,35.1256,0.04
المسار,34.2597,35.9603,0.2797619047619048
المشرف,33.7069,35.4811,0.0
المشيع,33.6489,35.49,0.08333333333333333
المصيطبة,33.8847,35.495,0.1
المعادن,34.1181,35.7896,0.06176417448292448
المعرض,33.8967,35.5056,-0.005337465564738295
المقاصيد,33.8768,35.5047,-0.05
المكيدس,33.9919,35.6994,0.03333333333333333
المنارة,33.8959,35.472,-0.0016247641247641258
المناطر,33.3369,35.4364,0.08063822751322751
المواصل,33.1861,35.4444,0.07241258741258742
الناصرة,33.885999999999996,35.5118,0.0
النصار,34.5333,36.1333,0.0
النفارة,33.2097,35.4069,0.140625
الهرمل,34.3942,36.3847,-0.04
الهري,34.3067,35.7133,0.02812936121418258
الهويش,34.4986,36.1167,0.1359733893557423
الوردية,33.8972,35.4858,0.0
الوطى,34.1931,35.6347,0.11523271339168081
انة,34.3464,36.4833,0.1476438492063492
اهدن,34.1403,35.6643,-0.1996212121212121
ايحة,33.5002,35.876,0.25
باتر الشوف,33.6019,35.6183,0.03333333333333333
بان,34.2778,35.9547,0.04919633838383836
بترون,34.2553,35.6581,-0.022222222222222223
بتلون,33.6956,35.6531,0.17037037037037037
بتهلين,34.3681,35.9661,0.0
بجّة,34.18,35.715,0.0
بحنين,34.4994,35.9513,0.0
بخعز,34.1878,35.6669,0.03346390168970813
بدبهون,34.3364,35.7564,0.0
بدغان,33.7675,35.6714,-0.08000000000000002
بدياس,33.3125,35.2997,0.024690476190476193
براك الحج,33.1708,35.4306,0.6
بربارة,34.5739,36.1875,-0.3
برتي,33.5211,35.4833,0.06111111111111109
برزقين,34.2173,35.6579,0.0
برسا,34.3878,35.8314,-0.030753968253968252
برغون,34.3428,35.7575,-0.13333333333333333
برقتا,34.0689,35.79,0.40451388888888884
برهاليون,34.2589,35.8768,0.35714285714285715
بريتال,33.9342,36.1494,0.0
بريح,34.0961,35.6545,0.3294211647727273
برينصا,33.3222,35.4786,0.09259906759906758
برّ إلياس,33.7747,35.9042,0.1
بزال,34.4719,36.0436,0.21875
بزحل,34.0792,35.6992,0.0
بسابا,33.8031,35.5425,0.16666666666666666
بستيات,33.2893,35.3582,0.18833333333333335
بسرّين,33.7586,35.6369,0.1
بسوس,33.8161,35.5783,0.0
بشحارة,34.3583,35.9338,-0.03333333333333333
بشحّارا,34.3583,35.9338,0.047619047619047616
بشري,34.2508,36.0106,0.12000000000000002
بطحة,34.2261,35.8672,0.1903061224489796
بطركية,33.89,35.4963,-0.11499999999999999
بعاصير,33.6608,35.4502,0.052083333333333336
بعبدا,33.8339,35.5442,0.0
بعشتا,34.1578,35.6333,0.13333333333333333
بعقلين,33.6769,35.5594,0.06818181818181818
بعلبك,34.0058,36.2181,0.0
بعلول,33.5894,35.7503,0.3333333333333333
بقاق الدين,34.055,35.6572,-0.05
بقيفا,33.4936,35.8194,0.125
بكفتين,34.3856,35.8628,0.0
بل فو,33.9325,35.6072,0.010884661835748785
بلاط المصطفى,33.975,35.6094,0.0
بلدية,34.4389,35.8397,0.025
بليدا,33.14,35.5147,0.04015151515151518
بنابيل,33.8997,35.7378,-0.029166666666666667
بوار,34.1649,35.6639,0.010606060606060608
بوارج,33.8203,35.8153,0.022222222222222227
بودي,34.0611,36.0611,0.099609375
بوريا,34.135,35.73,-0.1
بوسيط,34.439,35.9241,0.1344375763125763
بوصيت,34.439,35.9241,0.008545847670847664
بولونيا,33.9086,35.7367,0.05
بياقوت,33.8933,35.585,0.014999999999999998
بيبلوس,34.1211,35.6481,0.20466787439613526
بيت الحج حسن,34.4453,36.5094,0.023302469135802473
بيت حيرة,34.4333,36.4667,0.0740909090909091
بيت رعد,34.2411,35.9403,0.03801020408163265
بيت زخور,33.8275,35.8711,0.3125
بيت علو,34.3778,36.2328,0.07990196078431372
بيحات,33.7219,35.5514,-0.11041666666666666
بيروت,33.8719,35.5097,0.04531031245818538
بيقون,33.6167,35.5825,0.16666666666666666
بيل,34.1494,35.7397,0.06738636363636363
بيلون,33.1667,35.4889,-0.005555555555555545
ت,33.9,35.5667,0.0
تاليا,33.9339,36.1028,0.13177083333333334
تحوم,34.2118,35.6573,0.126640625
تعيد,33.5742,35.5453,0.0
تلة الدروز,33.8908,35.4864,0.13333333333333333
تلة الدير,34.2308,36.3428,0.0
تورا,33.2939,35.2978,-0.025
ثم,34.2118,35.6573,0.10669934640522877
جاج,34.1647,35.8044,0.0
جبا,33.9164,35.7525,0.024102041278116566
جبلا,34.2464,35.7775,0.0
ججيم,33.1233,35.1925,0.06818181818181818
جران,34.2234,35.713,0.13333333333333333
جرجور,34.3514,35.9397,0.044444444444444446
جل البحر,33.7549,35.4599,-0.03125
جل الطون,33.1778,35.4694,0.030654761904761907
جمهور,33.8286,35.5744,-0.05
جنبلاط,33.8983,35.4914,0.0
جنة,34.0794,35.8276,0.015625
جنتا,33.8575,36.1075,0.09333333333333332
جوار نحلة,34.3214,36.2539,0.11666666666666668
جورة البلوط,33.774,35.5002,0.5
جورة قمر,33.9836,35.7547,0.1230857683982684
جون,33.5814,35.4611,0.08825124842349252
جونیہ,33.9808,35.6178,0.0
جيرون,34.4322,36.1075,0.03409090909090909
حات,33.7219,35.5514,0.1904513888888889
