date,prev_cases,new_cases,cases_diff,source,location,latitude,longitude,event
4/8/2020,7,27,20,travelers,Rafic Hariri International Airport - مطار بيروت الدولي,33.821006,35.490968,دخول وافدين من الخارج الى لبنان
4/10/2020,7,27,20,travelers,Rafic Hariri International Airport - مطار بيروت الدولي,33.821006,35.490968,دخول وافدين من الخارج الى لبنان
5/7/2020,9,34,25,travelers,Rafic Hariri International Airport - مطار بيروت الدولي,33.821006,35.490968,دخول وافدين من الخارج الى لبنان
5/10/2020,14,36,22,locals_travelers,Rafic Hariri International Airport - مطار بيروت الدولي,33.821006,35.490968,دخول وافدين من الخارج الى لبنان
5/21/2020,7,63,56,locals_travelers,Rafic Hariri International Airport - مطار بيروت الدولي,33.821006,35.490968,دخول وافدين من الخارج الى لبنان
6/4/2020,14,50,36,locals,ساحة النجمة,33.896713,35.504539,تحرك امام ساحة النجمة
6/4/2020,14,50,36,locals,وزارة العدل,33.877041,35.518578,تحرك امام وزارة العدل
6/4/2020,14,50,36,locals,القصر الجمهوري,33.84023,35.543069,تحرك امام طريق القصر الجمهوري
6/4/2020,14,50,36,locals,تعلبايا,33.816941,35.864144,قطع السير على طريقي تعلبايا
6/4/2020,14,50,36,locals,سعدنايل,33.821153,35.882492,قطع السير على طريقي سعدنايل
6/4/2020,14,50,36,locals,أوتوستراد المحمرة,34.505694,35.964959,قطع السير على أوتوستراد المحمرة بالإتجاهين
6/4/2020,14,50,36,locals,طريق عام البحصاص,34.416727,35.826512,قطع السير على طريق عام البحصاص بالاتجاهين
6/4/2020,14,50,36,locals,ساحة النور,34.434656,35.836141,قطع السير في محلة ساحة النور بطرابلس
6/4/2020,14,50,36,locals,أوتوستراد البالما,34.410054,35.820225,قطع السير على أوتوستراد البالما بالاتجاهين
6/30/2020,5,33,28,locals,كورنيش المزرعة,33.878694,35.49874,قطع السير في محلة كورنيش المزرعة
6/30/2020,5,33,28,locals,قصقص,33.878694,35.49874,قطع السير في محلة قصقص
6/30/2020,5,33,28,locals,طريق عام حلبا,34.544335,36.077186,قطع السير على طريق عام حلبا
6/30/2020,5,33,28,locals,طريق عام العبدة,34.510612,35.969462,قطع السير على طريق عام العبدة
6/30/2020,5,33,28,locals,مفرق المرج - البقاع,33.761719,35.883385,قطع السير محلة مفرق المرج في البقاع
6/30/2020,5,33,28,locals,مفرق المرج - البقاع,33.761719,35.883385,قطع السير محلة مفرق المرج في البقاع
6/30/2020,5,33,28,locals,جويا - الجنوب,33.238567,35.339237,قطع السير واحراق دولاليب في الجنوب طريق جويا
6/30/2020,5,33,28,locals,جسر الرينغ - بيروت,33.892341,35.505992,قطع السير باتجاه جسر الرينغ
