username,time,text,tags,translated_text,location,latitude,longitude,KADAA_ID,KADAA_AR,KADAA_EN,MOHAFAZA_ID,MOHAFAZA_AR,MOHAFAZA_EN
UserX,2020-09-30,"So?
What are we offended by today lebanon?
Wear your mask.
Keep distance.
Shower daily.
We will get through.",[],"So?
What are we offended by today lebanon?
Wear your mask.
Keep distance.
Shower daily.
We will get through.",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-30,"DER SPIEGEL
http://spiegel.de #r2p #DerSpiegel #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Deutschland #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern #Leipzig #PSG #Lyon #Wahlbetrug #Nawalny #Qanon","['#Trump', '#Dax', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Qanon', '#Bayern', '#UE', '#r2p', '#Nawalny', '#AngelaMerkel', '#Obama', '#Virecard', '#PSG', '#Lebanon', '#Beirut', '#DerSpiegel', '#Wahlbetrug', '#Biden', '#Covid', '#Lyon', '#Polizei', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","THE MIRROR
http://spiegel.de # r2p #DerSpiegel #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Germany #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern # Leipzig #PSG #Lyon #Voting fraud #Nawalny #Qanon",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@Coronalebanon2,2020-09-30,"Replying to 
@NjJawad",[],"Replying to 
@NjJawad",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-30,"I DNT trust people who smile.
Only who sneeze.",[],"I DONT trust people who smile.
Only who sneeze.",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-30,"Replying to 
@wissamgm
 @elaour1
 and 
@MTVLebanonNews",[],"Replying to 
@wissamgm
 @elaour1
 and 
@MTVLebanonNews",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-30,"Replying to 
@alihammoud0",[],"Replying to 
@alihammoud0",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@Coronalebanon2,2020-09-30,والله انا كائن بريئ,[],"By God, I am an innocent being",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-30,"@NadaBoustani
 we miss u.
Please say something!!!",[],"@NadaBoustani
 we miss u.
Please say something!!!",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-30,"WHO #Lebanon daily brief on #coronavirus with special section on ""Immunization services in times of corona: guiding principles""","['#coronavirus', '#Lebanon']","WHO #Lebanon daily brief on #coronavirus with special section on ""Immunization services in times of corona: guiding principles""",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-30,21k corona cases in lebanon,[],21k corona cases in lebanon,بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
