date,year,month,day,new_cases,new_deaths
2/1/2020,2020,2,1,0,0
2/2/2020,2020,2,2,0,0
2/3/2020,2020,2,3,0,0
2/4/2020,2020,2,4,0,0
2/5/2020,2020,2,5,0,0
2/6/2020,2020,2,6,0,0
2/7/2020,2020,2,7,0,0
2/8/2020,2020,2,8,0,0
2/9/2020,2020,2,9,0,0
2/10/2020,2020,2,10,0,0
2/11/2020,2020,2,11,0,0
2/12/2020,2020,2,12,0,0
2/13/2020,2020,2,13,0,0
2/14/2020,2020,2,14,0,0
2/15/2020,2020,2,15,0,0
2/16/2020,2020,2,16,0,0
2/17/2020,2020,2,17,0,0
2/18/2020,2020,2,18,0,0
2/19/2020,2020,2,19,0,0
2/20/2020,2020,2,20,0,0
2/21/2020,2020,2,21,1,1
2/22/2020,2020,2,22,0,0
2/23/2020,2020,2,23,0,0
2/24/2020,2020,2,24,0,0
2/25/2020,2020,2,25,1,0
2/26/2020,2020,2,26,0,0
2/27/2020,2020,2,27,1,0
2/28/2020,2020,2,28,1,0
2/29/2020,2020,2,29,3,0
3/1/2020,2020,3,1,3,0
3/2/2020,2020,3,2,3,0
3/3/2020,2020,3,3,0,0
3/4/2020,2020,3,4,2,1
3/5/2020,2020,3,5,1,0
3/6/2020,2020,3,6,6,2
3/7/2020,2020,3,7,6,0
3/8/2020,2020,3,8,4,1
3/9/2020,2020,3,9,12,0
3/10/2020,2020,3,10,16,1
3/11/2020,2020,3,11,2,0
3/12/2020,2020,3,12,8,0
3/13/2020,2020,3,13,18,0
3/14/2020,2020,3,14,7,0
3/15/2020,2020,3,15,13,0
3/16/2020,2020,3,16,12,0
3/17/2020,2020,3,17,17,0
3/18/2020,2020,3,18,17,0
3/19/2020,2020,3,19,22,3
3/20/2020,2020,3,20,48,2
3/21/2020,2020,3,21,17,0
3/22/2020,2020,3,22,17,1
3/23/2020,2020,3,23,39,3
3/24/2020,2020,3,24,30,3
3/25/2020,2020,3,25,35,0
3/26/2020,2020,3,26,23,1
3/27/2020,2020,3,27,21,0
3/28/2020,2020,3,28,28,2
3/29/2020,2020,3,29,9,0
3/30/2020,2020,3,30,16,0
3/31/2020,2020,3,31,17,1
4/1/2020,2020,4,1,15,0
4/2/2020,2020,4,2,15,0
4/3/2020,2020,4,3,11,0
4/4/2020,2020,4,4,8,1
4/5/2020,2020,4,5,14,0
4/6/2020,2020,4,6,7,0
4/7/2020,2020,4,7,27,0
4/8/2020,2020,4,8,8,0
4/9/2020,2020,4,9,26,0
4/10/2020,2020,4,10,13,0
4/11/2020,2020,4,11,10,1
4/12/2020,2020,4,12,2,0
4/13/2020,2020,4,13,9,0
4/14/2020,2020,4,14,18,0
4/15/2020,2020,4,15,4,0
4/16/2020,2020,4,16,6,0
4/17/2020,2020,4,17,4,1
4/18/2020,2020,4,18,1,0
4/19/2020,2020,4,19,4,0
4/20/2020,2020,4,20,0,0
4/21/2020,2020,4,21,5,1
4/22/2020,2020,4,22,6,1
4/23/2020,2020,4,23,8,0
4/24/2020,2020,4,24,8,0
4/25/2020,2020,4,25,3,0
4/26/2020,2020,4,26,3,0
4/27/2020,2020,4,27,7,0
4/28/2020,2020,4,28,4,0
4/29/2020,2020,4,29,4,0
4/30/2020,2020,4,30,4,0
5/1/2020,2020,5,1,4,0
5/2/2020,2020,5,2,4,0
5/3/2020,2020,5,3,3,0
5/4/2020,2020,5,4,2,0
5/5/2020,2020,5,5,8,0
5/6/2020,2020,5,6,34,0
5/7/2020,2020,5,7,11,0
5/8/2020,2020,5,8,14,0
5/9/2020,2020,5,9,36,0
5/10/2020,2020,5,10,12,0
5/11/2020,2020,5,11,11,0
5/12/2020,2020,5,12,8,0
5/13/2020,2020,5,13,9,0
5/14/2020,2020,5,14,5,0
5/15/2020,2020,5,15,11,0
5/16/2020,2020,5,16,9,0
5/17/2020,2020,5,17,21,0
