date,year,month,day,new_cases,new_deaths,local,travelers,prev_cases,prev_deaths,total_cases,total_deaths
2/1/2020,2020,2,1,0,0,1,0,0,0,0,0
2/2/2020,2020,2,2,0,0,1,0,0,0,0,0
2/3/2020,2020,2,3,0,0,1,0,0,0,0,0
2/4/2020,2020,2,4,0,0,1,0,0,0,0,0
2/5/2020,2020,2,5,0,0,1,0,0,0,0,0
2/6/2020,2020,2,6,0,0,1,0,0,0,0,0
2/7/2020,2020,2,7,0,0,1,0,0,0,0,0
2/8/2020,2020,2,8,0,0,1,0,0,0,0,0
2/9/2020,2020,2,9,0,0,1,0,0,0,0,0
2/10/2020,2020,2,10,0,0,1,0,0,0,0,0
2/11/2020,2020,2,11,0,0,1,0,0,0,0,0
2/12/2020,2020,2,12,0,0,1,0,0,0,0,0
2/13/2020,2020,2,13,0,0,1,0,0,0,0,0
2/14/2020,2020,2,14,0,0,1,0,0,0,0,0
2/15/2020,2020,2,15,0,0,1,0,0,0,0,0
2/16/2020,2020,2,16,0,0,1,0,0,0,0,0
2/17/2020,2020,2,17,0,0,1,0,0,0,0,0
2/18/2020,2020,2,18,0,0,1,0,0,0,0,0
2/19/2020,2020,2,19,0,0,1,0,0,0,0,0
2/20/2020,2020,2,20,0,0,1,0,0,0,0,0
2/21/2020,2020,2,21,1,1,1,0,0,0,1,1
2/22/2020,2020,2,22,0,0,1,0,1,1,1,1
2/23/2020,2020,2,23,0,0,1,0,0,0,1,1
2/24/2020,2020,2,24,0,0,1,0,0,0,1,1
2/25/2020,2020,2,25,1,0,1,0,0,0,2,1
2/26/2020,2020,2,26,0,0,1,0,1,0,2,1
2/27/2020,2020,2,27,1,0,1,0,0,0,3,1
2/28/2020,2020,2,28,1,0,1,0,1,0,4,1
2/29/2020,2020,2,29,3,0,1,0,1,0,7,1
3/1/2020,2020,3,1,3,0,1,0,3,0,10,1
3/2/2020,2020,3,2,3,0,1,0,3,0,13,1
3/3/2020,2020,3,3,0,0,1,0,3,0,13,1
3/4/2020,2020,3,4,2,1,1,0,0,0,15,2
