date,year,month,day,new_cases,new_deaths,local,travelers,prev_cases,prev_deaths,total_cases,total_deaths,month_avg_ratio,cumulative_avg_ratio,diff_avg_ratio,simple_ratio
2/1/2020,2020,2,1,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/2/2020,2020,2,2,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/3/2020,2020,2,3,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/4/2020,2020,2,4,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/5/2020,2020,2,5,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/6/2020,2020,2,6,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/7/2020,2020,2,7,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/8/2020,2020,2,8,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/9/2020,2020,2,9,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/10/2020,2020,2,10,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/11/2020,2020,2,11,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/12/2020,2020,2,12,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/13/2020,2020,2,13,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/14/2020,2020,2,14,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/15/2020,2020,2,15,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/16/2020,2020,2,16,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/17/2020,2020,2,17,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/18/2020,2020,2,18,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/19/2020,2020,2,19,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/20/2020,2020,2,20,0,0,1,0,0,0,0,0,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/21/2020,2020,2,21,1,1,1,0,0,0,1,1,-1.0,-0.6842116092923722,-0.11173670901956978,-0.05515929624346172
2/22/2020,2020,2,22,0,0,1,0,1,1,1,1,-1.0,-1.0,-0.03294110824144182,-0.05515929624346172
2/23/2020,2020,2,23,0,0,1,0,0,0,1,1,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/24/2020,2020,2,24,0,0,1,0,0,0,1,1,-1.0,-1.0,-0.11173670901956978,-0.05515929624346172
2/25/2020,2020,2,25,1,0,1,0,0,0,2,1,-1.0,-0.8421058046461861,-0.2693279105758257,-0.05515929624346172
2/26/2020,2020,2,26,0,0,1,0,1,0,2,1,-1.0,-1.0,-0.03294110824144182,-0.05515929624346172
2/27/2020,2020,2,27,1,0,1,0,0,0,3,1,-1.0,-0.8421058046461861,-0.2299301101867617,-0.05515929624346172
2/28/2020,2020,2,28,1,0,1,0,1,0,4,1,-1.0,-0.8421058046461861,-0.11173670901956978,0.47242035187826914
2/29/2020,2020,2,29,3,0,1,0,1,0,7,1,-1.0,-0.6616552956703988,-0.37438871161332965,-0.23101917895070534
3/1/2020,2020,3,1,3,0,1,0,3,0,10,1,-0.9244485294117647,-0.715790448363135,-0.11173670901956978,0.47242035187826914
3/2/2020,2020,3,2,3,0,1,0,3,0,13,1,-0.9244485294117647,-0.744940145966916,-0.11173670901956978,0.47242035187826914
3/3/2020,2020,3,3,0,0,1,0,3,0,13,1,-1.0,-1.0,0.21920481424856764,-0.05515929624346172
3/4/2020,2020,3,4,2,1,1,0,0,0,15,2,-0.9496323529411764,-0.673685329602118,-0.3638826315095793,-0.05515929624346172
3/5/2020,2020,3,5,1,0,1,0,2,1,16,2,-0.9748161764705883,-0.9111845151134796,-0.010428079447690988,0.2086305278174037
3/6/2020,2020,3,6,6,2,1,0,1,0,22,4,-0.8488970588235294,-0.3325381741861505,-0.6042092138828695,-0.14308923759708353
3/7/2020,2020,3,7,6,0,1,0,6,2,28,4,-0.8488970588235294,-0.6278208252374387,-0.11173670901956978,0.47242035187826914
3/8/2020,2020,3,8,4,1,1,0,6,0,32,5,-0.899264705882353,-0.6368433506862281,0.03373209241697414,0.2965604691710255
3/9/2020,2020,3,9,12,0,1,0,4,1,44,5,-0.6977941176470588,-0.44019330738193263,-0.6580528744145903,-0.23101917895070534
3/10/2020,2020,3,10,16,1,1,0,12,0,60,6,-0.5970588235294119,-0.27894984121758326,-0.30358686743588137,-0.4508440323347599
3/11/2020,2020,3,11,2,0,1,0,16,1,62,6,-0.9496323529411764,-0.9235995828933159,0.5011179636992033,0.010788159771754638
3/12/2020,2020,3,12,8,0,1,0,2,0,70,6,-0.7985294117647059,-0.7112791856387404,-0.2962337254756743,-0.18705420827389443
3/13/2020,2020,3,13,18,0,1,0,8,0,88,6,-0.5466911764705883,-0.45095882070151083,-0.39674207353620283,-0.28963913985311984
3/14/2020,2020,3,14,7,0,1,0,18,0,95,6,-0.8237132352941177,-0.7905824356359942,0.1619743252623484,0.15001056691498918
3/15/2020,2020,3,15,13,0,1,0,7,0,108,6,-0.6726102941176471,-0.6388901272926664,-0.24383521620643137,-0.339240645232086
3/16/2020,2020,3,16,12,0,1,0,13,0,120,6,-0.6977941176470588,-0.6842116092923722,-0.09044060070115682,0.4318373020227514
3/17/2020,2020,3,17,17,0,1,0,12,0,137,6,-0.571875,-0.5885530821802076,-0.22205055010894892,-0.42756845962350704
3/18/2020,2020,3,18,17,0,1,0,17,0,154,6,-0.571875,-0.6165426684264521,-0.11173670901956978,0.47242035187826914
3/19/2020,2020,3,19,22,3,1,0,17,0,176,9,-0.44595588235294126,-0.2302657976501573,-0.22500538513812873,-0.462834478882981
3/20/2020,2020,3,20,48,2,1,0,22,3,224,11,0.20882352941176485,0.0129835390231694,-0.6901891194378268,0.05475313044856553
