date,year,month,day,new_cases,new_deaths,prev_cases,prev_deaths,total_cases,total_deaths
2/1/2020,2020,2,1,0,0,0,0,0,0
2/2/2020,2020,2,2,0,0,0,0,0,0
2/3/2020,2020,2,3,0,0,0,0,0,0
2/4/2020,2020,2,4,0,0,0,0,0,0
2/5/2020,2020,2,5,0,0,0,0,0,0
2/6/2020,2020,2,6,0,0,0,0,0,0
2/7/2020,2020,2,7,0,0,0,0,0,0
2/8/2020,2020,2,8,0,0,0,0,0,0
2/9/2020,2020,2,9,0,0,0,0,0,0
2/10/2020,2020,2,10,0,0,0,0,0,0
2/11/2020,2020,2,11,0,0,0,0,0,0
2/12/2020,2020,2,12,0,0,0,0,0,0
2/13/2020,2020,2,13,0,0,0,0,0,0
2/14/2020,2020,2,14,0,0,0,0,0,0
2/15/2020,2020,2,15,0,0,0,0,0,0
2/16/2020,2020,2,16,0,0,0,0,0,0
2/17/2020,2020,2,17,0,0,0,0,0,0
2/18/2020,2020,2,18,0,0,0,0,0,0
2/19/2020,2020,2,19,0,0,0,0,0,0
2/20/2020,2020,2,20,0,0,0,0,0,0
2/21/2020,2020,2,21,1,1,0,0,1,1
2/22/2020,2020,2,22,0,0,1,1,1,1
2/23/2020,2020,2,23,0,0,0,0,1,1
2/24/2020,2020,2,24,0,0,0,0,1,1
2/25/2020,2020,2,25,1,0,0,0,2,1
2/26/2020,2020,2,26,0,0,1,0,2,1
2/27/2020,2020,2,27,1,0,0,0,3,1
2/28/2020,2020,2,28,1,0,1,0,4,1
2/29/2020,2020,2,29,3,0,1,0,7,1
3/1/2020,2020,3,1,3,0,3,0,10,1
3/2/2020,2020,3,2,3,0,3,0,13,1
3/3/2020,2020,3,3,0,0,3,0,13,1
3/4/2020,2020,3,4,2,1,0,0,15,2
3/5/2020,2020,3,5,1,0,2,1,16,2
3/6/2020,2020,3,6,6,2,1,0,22,4
3/7/2020,2020,3,7,6,0,6,2,28,4
3/8/2020,2020,3,8,4,1,6,0,32,5
3/9/2020,2020,3,9,12,0,4,1,44,5
3/10/2020,2020,3,10,16,1,12,0,60,6
3/11/2020,2020,3,11,2,0,16,1,62,6
3/12/2020,2020,3,12,8,0,2,0,70,6
3/13/2020,2020,3,13,18,0,8,0,88,6
3/14/2020,2020,3,14,7,0,18,0,95,6
3/15/2020,2020,3,15,13,0,7,0,108,6
3/16/2020,2020,3,16,12,0,13,0,120,6
3/17/2020,2020,3,17,17,0,12,0,137,6
3/18/2020,2020,3,18,17,0,17,0,154,6
3/19/2020,2020,3,19,22,3,17,0,176,9
3/20/2020,2020,3,20,48,2,22,3,224,11
3/21/2020,2020,3,21,17,0,48,2,241,11
3/22/2020,2020,3,22,17,1,17,0,258,12
3/23/2020,2020,3,23,39,3,17,1,297,15
3/24/2020,2020,3,24,30,3,39,3,327,18
3/25/2020,2020,3,25,35,0,30,3,362,18
3/26/2020,2020,3,26,23,1,35,0,385,19
