date,year,month,day,new_cases,new_deaths,prev_cases,prev_deaths,total_cases,total_deaths,sentiment_ratio1,sentiment_ratio2,sentiment_ratio3,sentiment_ratio4
2/1/2020,2020,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/2/2020,2020,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/3/2020,2020,2,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/4/2020,2020,2,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/5/2020,2020,2,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/6/2020,2020,2,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/7/2020,2020,2,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/8/2020,2020,2,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/9/2020,2020,2,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/10/2020,2020,2,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/11/2020,2020,2,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/12/2020,2020,2,12,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/13/2020,2020,2,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/14/2020,2020,2,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/15/2020,2020,2,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/16/2020,2020,2,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/17/2020,2020,2,17,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/18/2020,2020,2,18,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/19/2020,2020,2,19,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/20/2020,2020,2,20,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2/21/2020,2020,2,21,1,1,0,0,1,1,0.0,0.0,0.0,0.0
2/22/2020,2020,2,22,0,0,1,1,1,1,0.0,0.0,2.0,0.0
2/23/2020,2020,2,23,0,0,0,0,1,1,0.0,0.0,0.0,0.0
2/24/2020,2020,2,24,0,0,0,0,1,1,0.0,0.0,0.0,0.0
2/25/2020,2020,2,25,1,0,0,0,2,1,0.0,0.5,-1.5,0.0
2/26/2020,2020,2,26,0,0,1,0,2,1,0.0,0.0,1.0,0.0
2/27/2020,2020,2,27,1,0,0,0,3,1,0.0,0.6666666666666666,-1.25,0.0
2/28/2020,2020,2,28,1,0,1,0,4,1,0.0,0.75,0.0,0.5
2/29/2020,2020,2,29,3,0,1,0,7,1,0.0,1.7142857142857142,-3.0,-0.16666666666666666
3/1/2020,2020,3,1,3,0,3,0,10,1,0.1,1.5,0.0,0.5
3/2/2020,2020,3,2,3,0,3,0,13,1,0.1,1.3846153846153848,0.0,0.5
3/3/2020,2020,3,3,0,0,3,0,13,1,0.0,0.0,4.2,0.0
3/4/2020,2020,3,4,2,1,0,0,15,2,0.06666666666666667,1.4333333333333333,-4.5,0.0
3/5/2020,2020,3,5,1,0,2,1,16,2,0.03333333333333333,0.5,2.2142857142857144,0.25
3/6/2020,2020,3,6,6,2,1,0,22,4,0.2,3.454545454545454,-8.4375,-0.08333333333333333
3/7/2020,2020,3,7,6,0,6,2,28,4,0.2,2.142857142857143,1.5,0.5
3/8/2020,2020,3,8,4,1,6,0,32,5,0.13333333333333333,1.975,0.8942307692307694,0.3333333333333333
3/9/2020,2020,3,9,12,0,4,1,44,5,0.4,3.272727272727273,-5.866666666666667,-0.16666666666666666
3/10/2020,2020,3,10,16,1,12,0,60,6,0.5333333333333333,4.133333333333334,-3.2478260869565214,-0.375
3/11/2020,2020,3,11,2,0,16,1,62,6,0.06666666666666667,0.45161290322580644,8.351851851851853,0.0625
3/12/2020,2020,3,12,8,0,2,0,70,6,0.26666666666666666,1.7142857142857142,-2.2682926829268295,-0.125
3/13/2020,2020,3,13,18,0,8,0,88,6,0.6,3.272727272727273,-3.5106382978723403,-0.2222222222222222
3/14/2020,2020,3,14,7,0,18,0,95,6,0.23333333333333334,1.2526315789473685,3.3771929824561404,0.19444444444444445
3/15/2020,2020,3,15,13,0,7,0,108,6,0.43333333333333335,2.1666666666666665,-1.6323529411764706,-0.2692307692307692
3/16/2020,2020,3,16,12,0,13,0,120,6,0.4,1.9,0.26351351351351354,0.46153846153846156
3/17/2020,2020,3,17,17,0,12,0,137,6,0.5666666666666667,2.4817518248175183,-1.3666666666666667,-0.35294117647058826
3/18/2020,2020,3,18,17,0,17,0,154,6,0.5666666666666667,2.3181818181818183,0.0,0.5
3/19/2020,2020,3,19,22,3,17,0,176,9,0.7333333333333333,4.416666666666666,-4.15625,-0.38636363636363635
3/20/2020,2020,3,20,48,2,22,3,224,11,1.6,6.019480519480519,-6.466013071895424,0.10416666666666666
3/21/2020,2020,3,21,17,0,48,2,241,11,0.5666666666666667,1.6929460580912865,8.242342342342342,0.17708333333333334
3/22/2020,2020,3,22,17,1,17,0,258,12,0.5666666666666667,2.2306201550387597,-0.75,0.5
3/23/2020,2020,3,23,39,3,17,1,297,15,1.3,5.014141414141414,-5.651088348271447,-0.3846153846153846
3/24/2020,2020,3,24,30,3,39,3,327,18,1.0,3.9770642201834865,1.5091463414634145,0.8846153846153846
3/25/2020,2020,3,25,35,0,30,3,362,18,1.1666666666666667,2.707182320441989,1.4839928857269897,-0.42857142857142855
3/26/2020,2020,3,26,23,1,35,0,385,19,0.7666666666666667,2.2587833219412166,1.1810717372515125,0.32857142857142857
3/27/2020,2020,3,27,21,0,23,1,406,19,0.7,1.5517241379310345,1.106766917293233,0.45652173913043476
3/28/2020,2020,3,28,28,2,21,0,434,21,0.9333333333333333,3.0476190476190474,-2.791294642857143,-0.375
3/29/2020,2020,3,29,9,0,28,2,443,21,0.3,0.6501128668171557,4.603015075376884,0.16071428571428573
3/30/2020,2020,3,30,16,0,9,0,459,21,0.5333333333333333,1.150326797385621,-1.0756880733944953,-0.28125
3/31/2020,2020,3,31,17,1,16,0,476,22,0.5666666666666667,1.7597402597402598,-0.9345833333333333,-0.47058823529411764
4/1/2020,2020,4,1,15,0,17,1,491,22,0.9375,1.0692464358452138,1.0788651743883393,0.4411764705882353
4/2/2020,2020,4,2,15,0,15,0,506,22,0.9375,1.0671936758893281,0.0,0.5
4/3/2020,2020,4,3,11,0,15,0,517,22,0.6875,0.7872340425531914,0.6578947368421053,0.36666666666666664
4/4/2020,2020,4,4,8,1,11,0,525,23,0.5,1.144265010351967,-0.29627281947261663,0.36363636363636365
4/5/2020,2020,4,5,14,0,8,1,539,23,0.875,1.0129870129870129,-0.23073286052009467,-0.2857142857142857
4/6/2020,2020,4,6,7,0,14,0,546,23,0.4375,0.5128205128205128,1.1763485477178424,0.25
4/7/2020,2020,4,7,27,0,7,0,573,23,1.6875,1.931937172774869,-3.3467741935483875,-0.12962962962962962
4/8/2020,2020,4,8,8,0,27,0,581,23,0.5,0.5783132530120482,3.0130597014925375,0.14814814814814814
4/9/2020,2020,4,9,26,0,8,0,607,23,1.625,1.841845140032949,-2.7282229965156795,-0.15384615384615385
4/10/2020,2020,4,10,13,0,26,0,620,23,0.8125,0.9225806451612902,1.8967213114754098,0.25
4/11/2020,2020,4,11,10,1,13,0,630,24,0.625,1.2976190476190477,-0.37631027253668764,0.38461538461538464
4/12/2020,2020,4,12,2,0,10,1,632,24,0.125,0.14556962025316456,1.9483521888834234,0.1
4/13/2020,2020,4,13,9,0,2,0,641,24,0.5625,0.6599063962558502,-1.0106382978723405,-0.1111111111111111
4/14/2020,2020,4,14,18,0,9,0,659,24,1.125,1.3110773899848256,-1.2991071428571428,-0.25
4/15/2020,2020,4,15,4,0,18,0,663,24,0.25,0.2956259426847662,2.008695652173913,0.1111111111111111
4/16/2020,2020,4,16,6,0,4,0,669,24,0.375,0.44843049327354256,-0.2813370473537604,-0.3333333333333333
4/17/2020,2020,4,17,4,1,6,0,673,25,0.25,0.9031203566121843,-0.5304709141274238,0.3333333333333333
4/18/2020,2020,4,18,1,0,4,1,674,25,0.0625,0.0771513353115727,1.2338842975206612,0.125
4/19/2020,2020,4,19,4,0,1,0,678,25,0.25,0.3126843657817109,-0.4385245901639344,-0.125
4/20/2020,2020,4,20,0,0,4,0,678,25,0.0,0.0,0.5853658536585367,0.0
4/21/2020,2020,4,21,5,1,0,0,683,26,0.3125,1.010699403085933,-1.5634823848238482,0.0
4/22/2020,2020,4,22,6,1,5,1,689,27,0.375,1.1085846368865238,-0.1483957219251337,0.08333333333333331
4/23/2020,2020,4,23,8,0,6,1,697,27,0.5,0.6427546628407461,0.5558095238095238,-0.375
4/24/2020,2020,4,24,8,0,8,0,705,27,0.5,0.6468085106382979,0.0,0.5
4/25/2020,2020,4,25,3,0,8,0,708,27,0.1875,0.24576271186440676,0.7758620689655172,0.1875
4/26/2020,2020,4,26,3,0,3,0,711,27,0.1875,0.24894514767932488,0.0,0.5
4/27/2020,2020,4,27,7,0,3,0,718,27,0.4375,0.584958217270195,-0.6335078534031413,-0.21428571428571427
4/28/2020,2020,4,28,4,0,7,0,722,27,0.25,0.3379501385041551,0.47797927461139894,0.2857142857142857
