username,time,text,tags,latitude,longitude,location
@melhemErizk,2m,The #Artist Who Escaped New York’s COVID-19 #Pandemic Without Leaving Home,"['#Pandemic', '#Artist']",33.894204,35.485805,Beirut
@kataeb_Ar,4m,#كورونا.. المغرب يسجل 3387 إصابة خلال يوم,['#كورونا'],33.894204,35.485805,Beirut
@Mustaqbalweblb,4m,"فرنسا تعلن فرض حالة طوارئ طبية بسبب زيادة تفشي ""كورونا""",[],33.894204,35.485805,Beirut
@Marwa_MissG,5m,"Replying to 
@homedad4",[],33.894204,35.485805,Beirut
@Lebanon24,7m,"فرنسا تعلن فرض حالة طوارئ طبية بسبب زيادة تفشي فيروس كورونا
#lebanon24",['#lebanon24'],33.894204,35.485805,Beirut
@kataeb_Ar,10m,#فرنسا تعلن فرض حالة طوارئ طبية بسبب زيادة تفشي فيروس كورونا,['#فرنسا'],33.894204,35.485805,Beirut
@Mustaqbalweblb,22m,"٢٤ إصابة بـ""كورونا"" في منطقة صور اليوم",[],33.894204,35.485805,Beirut
@AndreDagher1,37m,"Replying to 
@AndreDagher1
 @YoumnaSherry
 and 
@SalamehCarine",[],33.894204,35.485805,Beirut
@TalalKahil,39m,"٢٠وفاة و١٣٧٧اصابة بحسب #وزارة_الصحة_اللبنانية اليوم
#كورونا
#Covid_19
#كورونا_لبنان","['#وزارة_الصحة_اللبنانية', '#Covid_19', '#كورونا', '#كورونا_لبنان']",33.894204,35.485805,Beirut
@lebanondebate,43m,"حالةُ وفاة بـ #كورونا في مستشفى الحريري... و30 حرجة
http://lebanondebate.com/news/502836
@firassabiad
 @mophleb
 @Hamad_hassan20
 @grandserail",['#كورونا'],33.894204,35.485805,Beirut
@kataeb_Ar,46m,لجنة الصحة في بلدية #عدلون: 3 اصابات بـ #كورونا خلال ال 24 ساعة الماضية,"['#عدلون', '#كورونا']",33.894204,35.485805,Beirut
@Lebanon24,46m,"إنفاق مجموعة G20 لمواجهة آثار كورونا فاق 11 تريليون دولار
#lebanon24",['#lebanon24'],33.894204,35.485805,Beirut
@AnbaaOnline,58m,"مستشفى رفيق الحريري: 85 اصابة بـ""كورونا"" و30 حالة حرجة وحالة وفاة",[],33.894204,35.485805,Beirut
@gggguuuyyy,58m,Ya khaye 31582 ma baaref gher l leham l m3atar maoo corona,[],33.894204,35.485805,Beirut
@slh_Rana,59m,"Replying to 
@mouhamad_hajjar",[],33.894204,35.485805,Beirut
@RIADTURK10,1h,"من بين كل 100 فحص كورونا في لبنان= 10 حالات إيجابية، والمعدل حالياً هو تقريباً 14000 فحص يومياً. يعني في 14 تشرين الثاني 2020 أو بعد شهر تحديداً، منوصل لهيدا الرقم: 100,000 حالة كورونا.",[],33.894204,35.485805,Beirut
@jarasscoop,1h," #لبنان | هل تكون الأيام القادمة البداية في ارتفاع حالات الوفيات؟!
فقد سجلت وزارة الصحة 20 حالة وفاة و1377 إصابة جديدة ب #فيروس_كورونا.","['#فيروس_كورونا', '#لبنان']",33.894204,35.485805,Beirut
@Mustaqbalweblb,1h,"بريطانيا تسجل 20,000 إصابة بـ""كورونا"" خلال 24 ساعة",[],33.894204,35.485805,Beirut
@AnbaaOnline,1h,"بلدية أنفه: تسجيل 6 حالات ""كورونا"" جديدة في البلدة",[],33.894204,35.485805,Beirut
@aljoumhouria,1h,وزارة الصحة: تسجيل 1377 إصابة جديدة بفيروس #كورونا و20 حالة وفاة,['#كورونا'],33.894204,35.485805,Beirut
@kataeb_Ar,1h,"#بريطانيا تسجل 20,000 إصابة بفيروس #كورونا خلال 24 ساعة","['#كورونا', '#بريطانيا']",33.894204,35.485805,Beirut
@leb_now,1h,"عاجل 
 وفاة 20 مواطن خلال 24 ساعة بفيروس كورونا في لبنان",[],33.894204,35.485805,Beirut
