username,time,text,tags
Fouad Badaro,16m,"#Corona #COVIDー19 Official Numbers in Lebanon till date:(New)
-Tests Done:576,847(8996)
-Confirmed Cases:20,453(415)
-Recovered:6,139(271)
-Death:191(4) 
-Active Cases:14,123
-Hospitalized:366
-Moderate:260
-ICU:106
#كورونا #كورونا_لبنان #لبنان 
 #StayAtHome  #COVID2019 #COVID19","['#Corona', '#كورونا_لبنان', '#كورونا', '#StayAtHome', '#COVID19', '#COVID2019', '#COVIDー19', '#لبنان']"
الكابتين,17m,"#كورونا_لبنان 
#coronavirus","['#كورونا_لبنان', '#coronavirus']"
سفير الشمال,34m,"إدارة منتجع “البالما” توضح.. ماذا قالت عن إصابات كورونا؟
#لبنان
#كورونا","['#لبنان', '#كورونا']"
Jihad,40m,"عاجل: وزارة الصحة اللبنانية: 415 إصابة كورونا و4 حالات وفاة 
خلال 24 ساعة
#كورونا_لبنان",['#كورونا_لبنان']
Ali H. Merii,1h,"أخيرا بكرا ٧ ايلول بتخلص التعبئة العامة وبترجع بتفتح المحلات والكل بصير يروح ويجي
#كورونا_لبنان",['#كورونا_لبنان']
حركة أمل,1h,"التقرير اليومي لفيروس كورونا ""كوفيد -19""
التاريخ: الأحد 6 أيلول 2020
#حركة_أمل
#كورونا_لبنان
#خليك_بالبيت
#وطنك_بيتك
#كورونا","['#وطنك_بيتك', '#كورونا_لبنان', '#كورونا', '#خليك_بالبيت', '#حركة_أمل']"
M. HC,1h,"وزارة الصحة اللبنانية تعلن عن إرتفاع عدد الإصابات إلى 20426 بعد تسجيل 415 إصابات جديدة، 396 لمقيمين و 18 وافدين. عدد الفحوصات 8996 فحص.
#كورونا #لبنان #بيروت","['#لبنان', '#كورونا', '#بيروت']"
Sawt Beirut International,1h,"وزارة الصحة: 415 اصابة كورونا و4 حالات وفاة
#كورونا_لبنان",['#كورونا_لبنان']
,1h,"فيروس كورونا :
إصابات جديدة : ٤١٥
العدد الإجمالي : ٢٠٤٢٦
مقيمين : ٣٩٦
وافدين : ١٩
عدد المصابين حالياً : ١٤٠٩٦
حالات حرجة : ١٠٦
وفيات :١٩١
حالات شفاء : ٦١٣٩
#كورونا
#كورونا_لبنان
#كورونا_الجديد
#فيروس_كورونا #خليك_بالبيت","['#كورونا_الجديد', '#كورونا_لبنان', '#كورونا', '#خليك_بالبيت', '#فيروس_كورونا']"
COVID-19 LB,1h,"Sunday, September 6 at 7:51 PM

547 new patients have fully recovered from COVID-19, increasing the total number of recoveries to 6139 and reducing active cases to 14096. #كورونا_لبنان",['#كورونا_لبنان']
سَاْرَازْ,1h,"أكيد طبعاً ما عجبها الحكي وضلّت تطلّع فيي بالقلب وتجأوِرني، مع العلم اني ما حسيت حالي عملت شي غلط وحتى ما حسيت حالي ندمت أبداً. 
عَ أمل الناس توعى بقى بخصوص هالموضوع كرمال الاستهتار عند ""معظم"" الناس وخاصّة الاهل شي مش مقبول أبداً. 
#كورونا_لبنان 
#COVIDー19 
#كورونا_مش_مزحة","['#كورونا_لبنان', '#COVIDー19', '#كورونا_مش_مزحة']"
Omar Ismail,1h,"ارتفاع العدد الكلّي للمصابين بفيروس كورونا في القلمون الى ٤٩ اصابة بعد تسجيل حالة جديدة اليوم.
و استقر عدد حالات الشفاء على ٢٦ مع تسجيل وفاة واحدة ليكون العدد الكلّي للحالات الناشطة حتى الساعة في البلدة هو ٢٢.
 سلامة قلب الجميع
#الوقاية_ثم_الوقاية_ثم_الوقاية #كورونا #لبنان","['#لبنان', '#الوقاية_ثم_الوقاية_ثم_الوقاية', '#كورونا']"
Nicholas Frakes | نيكولاس فرايكس,1h,"A drop in #COVID19 cases in #Lebanon today with the Ministry of Health recording 415 new cases and four deaths in the last 24-hours. The total is now 20,436 and 191 deaths. #CoronaVirusUpdate #كورونا #كورونا_لبنان","['#Lebanon', '#كورونا_لبنان', '#كورونا', '#CoronaVirusUpdate', '#COVID19']"
Lebanese-Forces.com,1h,"وزارة الصحة: 4 وفيات و415 إصابة جديدة
#كورونا #لبنان","['#لبنان', '#كورونا']"
العربي الجديد-عاجل,1h,"#عاجل | وزارة الصحة اللبنانية: 4 وفيات و415 إصابة جديدة بفيروس كورونا

#لبنان","['#لبنان', '#عاجل']"
العربي الجديد,1h,"#عاجل | وزارة الصحة اللبنانية: 4 وفيات و415 إصابة جديدة بفيروس كورونا

#لبنان","['#لبنان', '#عاجل']"
𝑀𝑜𝓊𝓃𝓏𝑒𝓇 𝓎𝒶𝑔𝒽𝓂𝑜𝓊𝓇,2h,#طرابلس_لبنان #كورونا #لبنان,"['#لبنان', '#كورونا', '#طرابلس_لبنان']"
Lebanese-Forces.com,3h,"61 إصابة جديدة في طرابلس
https://cutt.ly/lfmoQJe
#طرابلس #كورونا #لبنان","['#طرابلس', '#لبنان', '#كورونا']"
Samia Khaddaj,3h,"في ظل الأوضاع السياسية والاقتصادية الصعبة، إطلالة خاصة لرئيس لقاء الاعتدال المدني، النائب السابق مصباح الأحدب، عبر انستغرام LIVE الجمعة ١١ ايلول ٩مساءً.
يمكنكم متابعة اللقاء عبر صفحتي الخاصة على انستغرام samia_khaddaj.
@MisbahAhdab
 
#كورونا #لبنان_راح_يرجع #بيروت #إنستغرام #لبنان","['#لبنان_راح_يرجع', '#كورونا', '#إنستغرام', '#لبنان', '#بيروت']"
إيناس كريمة,4h,"شو معاليك؟ منلاقي عند حضرتك جواب؟ 
@Hamad_hassan20
؟
#كورونا_لبنان",['#كورونا_لبنان']
ابو ضاري,4h,"ل نحسم الأمر ، اي فصل تفضلون ؟ 

#الكويت #السعوديه #العراق #قطر #البحرين #الامارات #عُمان #الاردن #فلسطين #المغرب #كورونا #لبنان #الجزائر #عمان #الزرقاء #فيروس_كورونا","['#الجزائر', '#الامارات', '#السعوديه', '#العراق', '#المغرب', '#البحرين', '#ع', '#الاردن', '#الكويت', '#كورونا', '#عمان', '#فيروس_كورونا', '#قطر', '#لبنان', '#الزرقاء', '#فلسطين']"
