username,time,text,tags,locations
Marco Bardus,1h,"Replying to 
@GhinwaHayek
 and 
@mophleb",[],
ρꫀ𝕣ꪶꪖ,1h,Corona took away the days we were supposed to be the most alive,[],
Em Petunia,2h,so funny how when we only had 3-4 cases of corona every day i stayed at home for two months w halae ma aam behda (taking full precautions tho akid),[],
ستار بوي,2h,And then people in leb complain about $$$ and corona fuck eveyrone sitting here lol sharamit,[],
Michael,4h,"Replying to 
@SarahAM___",[],
Dude with No Sign,7h,When you fake Corona symptoms to skip lunch invitation at a village.,[],
J a د S ع d,7h,Bonjour lyom benet 3omra 5 snin 7atta kememe bel eddes w shabb 3omro 25 ba3do mousser eno ma fi corona,[],
Carmen Geha,7h,"Yessss this is where our pain lies: private interests are prioritized over people's health. We need preventive community health and awareness on corona and other diseases. 
@najat_saliba",[],
أبو راما,8h,"Replying to 
@Haidar_LDN",[],
Kareem Nasser,19h,"I just saw an instagram story of a wedding with the phrase ""one family""......I am tempted to reply ""one Corona""",[],
JoeZakhour جوزف زخور,Sep 5,"Replying to 
@NicolasDimitri9
 @SejaanShalala
 and 2 others",[],
steve,Sep 5,Me when corona is over,[],
Ghina,Sep 5,"ما تنسوا كورونا
Dont forget Corona!!",[],
Insan Association,Sep 5,"“A simple smile. That’s the start of opening your heart and being compassionate to others.” Dalai Lama

#icanseeyoursmile #smileunderthemask #smile
 #campaign #NGO #coronavirus #COVID #corona #nonprofit #change #health #impact #stayhome
 #quarantine #lockdown #staysafe #wearamask","['#COVID', '#nonprofit', '#quarantine', '#health', '#corona', '#change', '#staysafe', '#smile', '#stayhome', '#lockdown', '#wearamask', '#NGO', '#icanseeyoursmile', '#coronavirus', '#impact', '#smileunderthemask', '#campaign']",
R@N@,Sep 5,"Replying to 
@RazyKteich
 and 
@Zeinabaj18",[],
بَيْرُوتْ,Sep 5,"Replying to 
@AMaacron",[],
Tony Z,Sep 5,"Replying to 
@ViVaDaniiela",[],
el hanz el madfa3i,Sep 4,"On one hand, this lockdown is essential for corona cases to decrease, on the other hand, I'm jobless becuase of it. We need our jobs dumb asses",[],
mayinoctober,Sep 4,"Urgent
My friend’s dad is very sick, anyone willing to donate plasma & got tested negative for corona for the past two weeks, please contact me

Conditions:
Pre-corona patient
Negative test result for at least two weeks
Any Blood Group",[],
Mhd DA,Sep 4,"Replying to 
@hewwcaptin",[],
ريم,Sep 4,"Replying to 
@mhd_ali_arab",[],
