username,time,text,tags,locations
Jeremiah Victor Harding,1h,My president went to Lebanon for medical examination after being in power for over 2 years,[],
tenddy bear¹²⁷,1h,"i’ve just donated to beitelbaraka, an NGO based in beirut, lebanon. after the tragic explosion over a month ago, they are raising money for food, shelter, medical supplies etc. their website makes it so easy to pick what you want to donate for as well! https://beitelbaraka.org",[],
International Medical Corps UK,6h,"""Central Beirut...was just totally catastrophic.""

Watch Adam Jacavou, our #Lebanon Project Coordinator, recall his experience of the #BeirutExplosion and aftermath below ","['#BeirutExplosion', '#Lebanon']",
Mahmoud Nasreddine,9h,"#drainbrain from #Lebanon 
#medical sector must be protected.","['#drainbrain', '#medical', '#Lebanon']",
International Medical Corps,12h," Hear from Rima Bakri, our Communications Manager in #Lebanon, on what it means to the team to receive messages of support from across the world following the #Beirut explosion ","['#Lebanon', '#Beirut']",
Logiko Iko,13h,"Medical
#3Dprinting #3Dprinted #3dprint #tech #Lebanon #Beirut","['#3Dprinting', '#3Dprinted', '#tech', '#Lebanon', '#3dprint', '#Beirut']",
International Medical Corps UK,Sep 5,"Last week, we asked you to send a message of support to our #Lebanon team who have endured so much over the past weeks—and many of you did. 

The team were so touched by the messages they received—that they wanted to send a short one back 
 #WithBeirut","['#WithBeirut', '#Lebanon']",
Plaid Japan,Sep 5,"Japan has joined in the effort to assist Lebanon in recovering from the massive explosion in Beirut! This assistance includes providing medical equipment and repairs to hospitals as well as tents.
https://japantoday.com/category/politics/japan-to-give-5-mil.-in-aid-to-lebanon-in-wake-of-massive-explosion…",[],
Gertrud Müller,Sep 5,MEXICO RETURN DANIELE FRANCOIS !!!!EARTH QUAKE NATURAL  DESASTER UNPAYED BY SWITZERLAND ZUNAMI INDONESIA VON KAENNEL  ALL FOREIGN PASSPORTS delevaux jfamily immigrated to AS DENTIST TO EGYPT AS MEDICAL ALSO GREECE jugoslavia the parents with jegen jamel to Lebanon  shit to,[],
UkFour,Sep 5,"Prior to the #Beirut explosions, Lebanon reported about 70 daily #COVID19 cases, says 
@UNICEF
. Now the country is reporting upwards of 600 cases a day.

The explosions left three hospitals severely damaged and at least 20 other medical facilities moderat… ","['#COVID19', '#Beirut']",
Muzamil,Sep 5,"""Prior to the #Beirut explosions, Lebanon reported about 70 daily #COVID19 cases, says 
@UNICEF
. Now the country is reporting upwards of 600 cases a day.

The explosions left three hospitals severely damaged and at least 20 other medical facilities mo… ""","['#COVID19', '#Beirut']",
Karim Nammour | كريم نمّور,Sep 5,"In this article, we explain why the last memo issued by the Minister of Health to hospitals & doctors violates Medical Ethics & Patients' Rights. And how it is a way for government to turn hospitals into Police Station in order to subdue protesters
 militarization of #Lebanon",['#Lebanon'],
Al Rush,Sep 5,"Replying to 
@minnierahman
 and 
@HuffPost",[],
International Medical Corps,Sep 5," Our courageous team in Lebanon has been through a lot recently—but with your support, they can keep helping those affected by the #BeirutExplosion.

Support their lifesaving work today 
 https://bit.ly/GIVE-IMC-Lebanon…",['#BeirutExplosion'],
Ibrahim Sesay,Sep 5,President Bio is recovering in Lebanon after serious medical treatment:,[],
AJ+,Sep 5,"Prior to the #Beirut explosions, Lebanon reported about 70 daily #COVID19 cases, says 
@UNICEF
. Now the country is reporting upwards of 600 cases a day.

The explosions left three hospitals severely damaged and at least 20 other medical facilities moderately or seriously damaged.","['#COVID19', '#Beirut']",
Italy in Lebanon,Sep 4,"VM 
@ecdelre
 accompanied by Ambassador Bombardiere visited the Italian military field hospital set up in Hadath and some homes repaired within AVSI love Beirut project. She also delivered to the 
@RedCrossLebanon
 medical kits donated by 
@ItalyMFA
 and Italian Red Cross.",[],
Cedars Relief,Sep 4,#Lebanon still needs support! We are collecting emergency medical and hygienic supplies to ship to #Beirut from #LosAngeles. Get in touch with the team to learn more! #TalkAboutLebanon,"['#LosAngeles', '#TalkAboutLebanon', '#Lebanon', '#Beirut']",
Lamia Moubayed,Sep 4,"Excellent report by 
@ChloeNCornish
 on a sector that has always been the pride of #Lebanon and its attractive edge. 
Respect to the medical personnel, heroes of our time and more 
 #Beirut_Explosion","['#Beirut_Explosion', '#Lebanon']",
ηαтнαℓу,Sep 4,"Watching the documentary of 
@saintgeorgehosp
  on 
@LBCILebanon
  and not able to stop crying 
All Respect and Love to all the medical stuff 
, you are true Heroes 
#BeirutExplosion 
#Lebanon","['#Lebanon', '#BeirutExplosion']",
Our AIM Foundation,Sep 4,"...created 849 toilet and shower facilities, delivered medical aid to 259,000 people in Lebanon, Bangladesh, India, Malawi, Pakistan, and the United States, and distributed nearly 300,000 meals to people across those nations.",[],
Linsey Godfrey,Sep 4,"Hey guys
Lebanon still needs our help! 
@INARAorg
 is still on the frontlines giving medical attention to those injured in the Beirut explosion but we need funds. Please donate if you can and retweet!",[],
frank onaissi,Sep 4,"Replying to 
@finance4lebanon
 and 
@OmarTamo19",[],
TMJ-USA Health&Wlf,Sep 4,"If you're looking for work in #Lebanon, MO, check out this #HealthWelfare job via the link in our bio: Emergency Medical Tech I-24 at Mercy","['#HealthWelfare', '#Lebanon']",
ABDUL RASHID THOMAS,Sep 4,President Bio is recovering in Lebanon after serious medical treatment,[],
America's Urban Campus,Sep 4,"After seeing the damage made by an explosion in Lebanon 
@RushMedical
 quickly came together with Project CURE to send medical supplies to Beirut, showcasing the school's commitment to global health. 
#americasUrbanCampus #ChiHigherED","['#americasUrbanCampus', '#ChiHigherED']",
Glafkos Cariolou,Sep 4,"Apprx 300 tonnes of food & medical assistance to Lebanon from little tiny Republic of Cyprus 
 departing from Limassol port & arriving tomorrow in Beirut!! Long live the People of 
 Lebanon!",[],
Expedition Medicine,Sep 4,"Tonights WEM Live Session talking 2 UK-Med CEO David Wightwick about his experience leading the #UKaid funded medical needs assessment team in #Lebanon, following the devastating explosion at #Beirut Port
.
Being broadcast via FB Live at https://m.facebook.com/ExtremeMedicine
.
19.30BST","['#UKaid', '#Lebanon', '#Beirut']",
Fitch Solutions,Sep 4,"#Beirut Explosion And Surge In Covid-19 Cases Poses Risks To #Medical Device Market In #Lebanon: http://ow.ly/2b9a50BgLZ2

#middleeast #medicaldevices #health #healthcare #covid19 #coronavirus #countryrisk","['#medicaldevices', '#middleeast', '#coronavirus', '#health', '#healthcare', '#Lebanon', '#countryrisk', '#covid19', '#Medical', '#Beirut']",
Kunal D Patel,Sep 4,"Beirut Port Explosions: Survivors’ Needs on the Rise While Normal Life Seems Far Away https://bit.ly/2DrLWNu v 
@ifrc
 Medical and financial needs have grown dramatically #lebanon #Beirut #GlobalDev #BeirutExplosion","['#GlobalDev', '#lebanon', '#BeirutExplosion', '#Beirut']",
Abir Chebaro,Sep 4,"According to a medical source I’ve asked, if the #survivor is a baby, s/he might have fed on breast milk to survive and therefore, the dead body might rather be her/his mom who might have succumbed lately. #Lebanon #نبض_بيروت","['#Lebanon', '#نبض_بيروت', '#survivor']",
Cathie JayakumarH,Sep 4,"Solidarity with the medical staff in #Lebanon 

One month on, Beirut’s medics work to heal port blast devastation https://ft.com/content/3034a2c3-962c-4cc5-8b7e-2472c0b0b984… via 
@financialtimes",['#Lebanon'],
Lost & Found – 7 days till Preorders Open!,Sep 4,"Announcing our chosen charity 
All proceeds from this project will go to the Lebanon Red Cross. They provide emergency medical services, and other medical, health education, and social services in Lebanon. We'd like to support them in the aftermath of the Beirut tragedy 1/2.",[],
mary,Sep 4,"Replying to 
@sarami_ma
 @SGhasseminejad
 and 
@realDonaldTrump",[],
Tyler Jankoski,Sep 3,"Two medical helicopters (N635DH-Burlington and N135DH-Lebanon) landing at the UVM helipad today after a plane crash at the Morrisville-Stowe Airport. Vermont’s highest peak, Mt. Mansfield, sits in the background of the helipad. 
@dhart_hems",[],
International Medical Corps,Sep 3,"Hear from Rima Bakri, our Communications Manager in #Lebanon, on what it means to the team to receive messages of support from across the world following the #Beirut explosion ","['#Lebanon', '#Beirut']",
D. Chehab,Sep 3,"Interview with 
@WorldBankMENA
 Feri Belhaj on 
@FRANCE24
 about #lebanon #reconstruction. When the journalist asked him about priorities, he didn’t even mention medical facilities, although it is said 50% of them were destroyed. Children have no cancer facilities. #Beirut #mena","['#reconstruction', '#lebanon', '#mena', '#Beirut']",
Rowena,Sep 3,"“We are the lucky ones, the privileged ones who got medical care, who have options, who have food, the ones who are now living in a hotel because our home was wrecked.” Still, one harrowing example form Lebanon. By ⁦
@SeemaJilani
⁩",[],
Medical Aid for Palestinians,Sep 3,"With discovery of #COVID19 cases in community in #Gaza last week, 180% increase in Lebanon cases since devastating #Beirut explosion & over 30000 cases in West Bank, for 1st time MAP is responding to a humanitarian emergency across all 3 areas of operation https://map.org.uk/news/archive/post/1149-medical-aid-for-palestinians-declares-healthcare-emergency-across-occupied-palestinian-territory-and-lebanon…","['#COVID19', '#Gaza', '#Beirut']",
uniceflebanon,Sep 3,"2/2 “Today for UNICEF, the emergency is to make the primary health care center functioning, bringing the medical equipment, the supplies, the vaccines & to bring all the supplies to prevent #COVIDー19 to save every child in #Lebanon” Genevieve, UNICEF Child Survivor Chief.","['#COVIDー19', '#Lebanon']",
Shivam Ratnani,Sep 3,"After Beirut Explosion, Lebanon Sees A Spike In Coronavirus Infections Since the Aug. 4 blast, the number of COVID-19 cases has increased by some 220%, according to the International Rescue Committee. The country is also coping with damage to medical fac…",[],
Rita^Certified Résumé Strategist,Sep 3,"Question: When a party helps you with housing, gives you monthly allowance, pays for your children's education, pays for your medical bills, give you jobs... Would you vote against that party when it's election time? (They could pay for ticket back home/taxi/whatnot) #Lebanon",['#Lebanon'],
Government Jobs OR,Sep 3,"CHC: East Linn Clinic, Lebanon Medical Assistant (HCT21) https://governmentjobs.com/jobs/2852466 
@GovernmentJobs",[],
Andrew Jinks,Sep 3,Medical Aid for Palestinians declares healthcare emergency across occupied Palestinian territory and Lebanon,[],
Faith Driven Venture Capital™,Sep 2,"See how our 
@SamaritansPurse
 medical team in Lebanon is treating people affected by the explosion that took place in Bei... https://instagram.com/p/CEpHRPFD8jJ?utm_source=ChristianVentureCapital%40ChristianVC.com&utm_medium=twitter… #FaithDrivenVentureCapital #FaithDrivenInvestors #FaithDrivenEntrepreneurs","['#FaithDrivenInvestors', '#FaithDrivenEntrepreneurs', '#FaithDrivenVentureCapital']",
LuminAID,Sep 2,"For an update on LuminAID’s #BeirutExplosion relief efforts, visit  https://bit.ly/2EDYVMc LuminAID lanterns and phone chargers are on their way to Lebanon, thanks to nonprofit partners like the Beirut Relief Coalition, 
@beitelbaraka
, and SCM Medical Missions",['#BeirutExplosion'],
International Medical Corps,Sep 2,"""Central Beirut...was just totally catastrophic.”

Watch Adam Jacovou, our #Lebanon Project Coordinator, recall his experience of the #BeirutExplosion and aftermath below ","['#BeirutExplosion', '#Lebanon']",
Massah D,Sep 2,Egypt sends COVID-19 medical assistance to Lebanon - Iraq News - Local News - Baghdadpost,[],
