Name,KADAA_ID,KADAA_AR,KADAA_EN,MOHAFAZA_ID,MOHAFAZA_AR,MOHAFAZA_EN
Aabadiyeh,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Aabaydat,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Aabbassiyeh,83000,صور,Sour,8,الجنوب,South
Aabboudiyeh,11000,عكّار,Akkar,1,عكار,Akkar
Aabdeh,11000,عكّار,Akkar,1,عكار,Akkar
Aabdelli,74000,البترون,El Batroun,7,الشمال,North
Aabdine (Bcharreh),76000,بشرّي,Bcharre,7,الشمال,North
Aabri,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Aadaysseh,63000,مرجعيون,Marjaayoun,6,نبطية,Nabatiyeh
Aadbil,11000,عكّار,Akkar,1,عكار,Akkar
Aadchit (Qoussair),63000,مرجعيون,Marjaayoun,6,نبطية,Nabatiyeh
Aadchit Ech Chqif,61000,النبطيّة,El Nabatieh,6,نبطية,Nabatiyeh
Aalali,74000,البترون,El Batroun,7,الشمال,North
Aali En Nahri,41000,زحلة,Zahle,4,البقاع,Bekaa
Aallaq Et Tell,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Aalmat Ech Chmaliyeh,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Aalmat Ej Jnoubiyeh,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Aamaret El Baykat,11000,عكّار,Akkar,1,عكار,Akkar
Aamchit,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Aammiq (Beqaa Ouest),42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Aammiq (Chouf),53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Aamriyeh,11000,عكّار,Akkar,1,عكار,Akkar
Aanjar (Haouch Moussa),41000,زحلة,Zahle,4,البقاع,Bekaa
Aansar (Baalbek),22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Aaouadeh,11000,عكّار,Akkar,1,عكار,Akkar
Aaouainat (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Aaqabet Rachaiya,43000,راشيّا,Rachaya,4,البقاع,Bekaa
Aaqaybeh,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Aaqidiyeh,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Aaqtanit (Saida),81000,صيدا,Saida,8,الجنوب,South
Aaramoun (Aaley),54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Aarbaniyeh,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Aarida (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Aarjes,73000,زغرتا,Zgharta,7,الشمال,North
Aartiz,74000,البترون,El Batroun,7,الشمال,North
Aatchaneh,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Aathrine,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Aaychiyeh,82000,جزّين,Jezzine,8,الجنوب,South
Aayha,43000,راشيّا,Rachaya,4,البقاع,Bekaa
Aaymar,77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Aaynab,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Aaynata (Baalbek),22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Aayoun (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Aayoun (Matn),52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Aayoun El Ghizlane,11000,عكّار,Akkar,1,عكار,Akkar
Aayroun,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Aayta Ej Jabal (Zott),62000,بنت جبيل,Bent Jbeil,6,نبطية,Nabatiyeh
Aayta El Foukhar,43000,راشيّا,Rachaya,4,البقاع,Bekaa
Aaytanit,42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Aaytaroun,62000,بنت جبيل,Bent Jbeil,6,نبطية,Nabatiyeh
Aaytat,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Aaytit,83000,صور,Sour,8,الجنوب,South
Aazra Ouel Aazr,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Aazzi,61000,النبطيّة,El Nabatieh,6,نبطية,Nabatiyeh
Aazzouniyeh,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Adma Oua Dafneh,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Afqa (Minieh-Danniyeh),77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Ain (Baalbek),22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Ain Aarab (Rachaiya),43000,راشيّا,Rachaya,4,البقاع,Bekaa
